#{"t_start": 1765588898.3059793, "env_id": "None"}
r,l,t
0.0,1936,18.758419
0.0,1936,36.709703
0.0,1936,54.610675
1.0,536,59.416778
1.0,1191,69.785413
1.0,314,73.208785
1.0,496,77.773546
1.0,597,82.914292
1.0,165,83.934438
1.0,335,87.555634
1.0,307,90.933338
1.0,174,91.999367
1.0,310,93.913338
1.0,133,96.203396
1.0,250,97.710991
1.0,257,100.879808
1.0,178,102.050818
1.0,137,102.894553
1.0,376,106.895411
1.0,430,111.025669
1.0,250,112.688529
1.0,85,114.696531
1.0,160,115.696695
1.0,216,117.044615
