#{"t_start": 1765939518.3498857, "env_id": "None"}
r,l,t
0.0,1936,32.871806
0.0,1936,93.233231
0.0,1936,153.765058
0.0,1936,213.771866
0.0,1936,273.895304
0.0,1936,333.648736
0.0,1936,390.858157
1.0,1041,434.928985
1.0,969,452.336441
1.0,707,465.014304
1.0,266,481.713866
1.0,1028,494.051155
1.0,177,496.18037
1.0,246,499.128462
1.0,564,517.93601
1.0,266,521.143981
1.0,280,524.532481
1.0,252,528.52306
1.0,230,531.897926
1.0,319,535.767982
1.0,292,539.278199
1.0,284,542.781845
1.0,195,557.506836
1.0,288,560.996922
1.0,249,564.066314
1.0,146,565.832395
1.0,269,569.088428
1.0,223,571.797848
1.0,166,574.564019
1.0,181,577.782462
1.0,208,581.450867
1.0,174,610.049898
1.0,209,613.78062
1.0,148,616.402848
1.0,123,618.579754
1.0,160,621.413986
1.0,125,623.673753
1.0,222,627.646112
1.0,166,630.557399
1.0,255,635.154958
1.0,146,637.781991
1.0,254,642.272794
1.0,193,645.66479
1.0,152,673.970826
1.0,165,676.977246
1.0,187,680.289811
1.0,168,683.28149
1.0,204,686.95354
1.0,205,690.611632
1.0,215,694.442727
1.0,155,697.226334
1.0,172,700.291153
1.0,165,703.258526
1.0,118,705.392131
1.0,176,733.784991
1.0,146,736.438582
1.0,138,738.876963
1.0,143,741.42684
1.0,138,743.924257
1.0,190,747.210978
1.0,83,748.715011
1.0,123,750.86478
1.0,146,753.442574
1.0,164,756.370405
1.0,164,759.175287
1.0,140,761.712193
1.0,128,763.45595
1.0,127,764.989856
1.0,131,766.594632
1.0,237,794.987702
1.0,275,799.880174
1.0,213,803.676976
1.0,133,806.025794
1.0,138,808.494361
1.0,182,811.718457
1.0,116,813.759913
1.0,258,818.361063
1.0,146,820.984546
1.0,165,823.920276
1.0,127,826.181327
1.0,178,854.873277
1.0,123,857.060085
1.0,206,860.74068
1.0,149,863.384212
1.0,187,866.703529
1.0,104,868.555264
1.0,277,873.494373
1.0,156,876.285352
1.0,144,878.828296
1.0,292,884.067307
1.0,207,887.748521
1.0,177,916.409161
1.0,118,918.556679
1.0,100,920.351726
1.0,81,921.773032
1.0,109,923.737452
1.0,146,926.36097
1.0,136,928.823887
1.0,134,931.19121
1.0,137,933.586114
1.0,139,936.094197
1.0,130,938.454124
1.0,146,941.027321
1.0,160,943.891382
1.0,118,946.03365
1.0,119,948.127259
1.0,111,950.133323
1.0,98,951.90326
1.0,152,980.352878
1.0,129,982.658151
1.0,209,986.369168
1.0,105,988.254782
1.0,199,991.80644
1.0,121,993.961001
1.0,135,996.411739
1.0,200,999.961275
1.0,107,1001.879793
1.0,128,1004.14827
1.0,168,1007.118145
1.0,97,1008.85848
1.0,95,1010.553945
1.0,113,1012.545824
1.0,147,1041.384177
1.0,80,1042.828953
1.0,142,1045.378027
1.0,130,1047.697724
1.0,128,1049.968256
1.0,88,1051.541858
1.0,131,1053.836245
1.0,106,1055.727652
1.0,115,1057.768146
1.0,114,1059.806697
1.0,133,1062.179823
1.0,112,1064.166571
1.0,148,1066.803776
1.0,146,1069.394673
1.0,114,1071.255958
1.0,141,1073.810516
1.0,172,1076.789848
1.0,71,1099.869611
1.0,84,1100.901457
1.0,118,1102.608432
1.0,96,1104.323009
1.0,117,1106.444319
1.0,100,1108.193475
1.0,100,1110.010957
1.0,118,1112.116552
1.0,111,1114.109905
1.0,99,1115.858897
1.0,83,1117.376285
1.0,120,1119.519371
1.0,140,1121.996011
1.0,87,1123.564392
1.0,107,1125.475895
1.0,132,1127.806331
1.0,138,1130.299898
1.0,100,1132.089432
1.0,84,1133.591981
1.0,81,1160.392971
1.0,71,1161.662208
1.0,123,1163.836919
1.0,134,1165.917999
1.0,97,1167.23409
1.0,78,1168.593712
1.0,113,1170.630604
1.0,110,1172.602769
1.0,77,1173.988551
1.0,72,1175.281214
1.0,104,1177.147646
1.0,87,1178.664931
1.0,132,1181.029033
1.0,149,1183.667023
1.0,77,1185.030001
1.0,95,1186.729364
1.0,90,1188.337752
1.0,100,1190.114488
1.0,148,1192.762937
1.0,107,1194.673349
1.0,91,1221.261866
1.0,102,1223.062007
1.0,112,1225.058405
1.0,74,1226.387169
1.0,80,1227.852256
1.0,137,1230.278768
1.0,101,1232.101267
1.0,104,1233.929881
1.0,71,1235.158291
1.0,97,1236.873721
1.0,102,1238.694142
1.0,101,1240.538415
1.0,97,1242.243518
1.0,85,1243.800581
1.0,90,1245.400389
1.0,100,1247.17008
1.0,81,1248.653525
1.0,98,1250.391833
1.0,102,1252.23559
1.0,109,1254.160247
1.0,108,1256.091234
1.0,87,1282.878669
1.0,77,1284.237462
1.0,85,1285.749671
1.0,103,1287.583813
1.0,92,1289.22612
1.0,85,1290.757762
1.0,107,1292.687825
1.0,107,1294.60667
1.0,111,1296.595046
1.0,103,1298.466269
1.0,88,1300.031879
1.0,103,1301.853494
1.0,102,1303.702934
1.0,93,1305.364932
1.0,93,1307.050329
1.0,83,1308.53177
1.0,91,1310.137715
1.0,73,1311.434935
1.0,98,1313.196695
1.0,91,1314.804407
1.0,85,1316.289655
1.0,72,1317.567151
1.0,110,1344.639206
1.0,79,1346.053761
1.0,119,1348.178615
1.0,119,1350.321148
1.0,81,1351.776975
1.0,82,1353.258874
1.0,90,1354.842244
1.0,86,1356.337517
1.0,96,1358.077704
1.0,102,1359.876657
1.0,78,1361.273498
