#{"t_start": 1765939518.349651, "env_id": "None"}
r,l,t
0.0,1936,32.869375
0.0,1936,93.230675
0.0,1936,153.762593
0.0,1936,213.769197
1.0,861,254.754578
0.0,1936,314.878928
0.0,1936,371.628447
0.0,1936,431.708254
1.0,490,440.527238
1.0,917,456.959574
1.0,1249,488.128284
1.0,331,492.097726
1.0,211,494.623271
1.0,220,497.26961
1.0,428,502.40174
1.0,292,517.947683
1.0,237,520.80383
1.0,171,522.871131
1.0,539,530.917097
1.0,220,533.597249
1.0,346,537.782347
1.0,261,540.94905
1.0,253,556.412497
1.0,124,557.916506
1.0,169,559.946344
1.0,127,561.518738
1.0,162,563.512105
1.0,209,566.053206
1.0,186,568.306635
1.0,237,571.177003
1.0,140,573.180552
1.0,164,576.124067
1.0,276,580.983511
1.0,211,610.264513
1.0,227,614.282464
1.0,186,617.592824
1.0,162,620.452069
1.0,133,622.83405
1.0,155,625.597012
1.0,148,628.271181
1.0,218,632.156388
1.0,116,634.226251
1.0,99,636.01932
1.0,389,642.908239
1.0,146,645.487274
1.0,278,676.072148
1.0,163,678.983636
1.0,259,683.580179
1.0,237,687.839381
1.0,141,690.354483
1.0,336,696.370581
1.0,184,699.651104
1.0,133,702.037807
1.0,146,704.669798
1.0,169,707.67851
1.0,158,735.809904
1.0,244,740.140616
1.0,129,742.462633
1.0,134,744.675193
1.0,234,748.894216
1.0,100,750.693413
1.0,160,753.506765
1.0,159,756.367993
1.0,219,760.182561
1.0,165,762.861513
1.0,236,765.73123
1.0,124,767.247669
1.0,218,795.605713
1.0,126,797.840605
1.0,231,801.946067
1.0,156,804.734944
1.0,207,808.409718
1.0,141,810.894891
1.0,276,815.817103
1.0,132,818.167407
1.0,216,822.028352
1.0,223,825.986269
1.0,160,854.372695
1.0,271,859.191061
1.0,121,861.363352
1.0,142,863.902737
1.0,151,866.556401
1.0,133,868.942212
1.0,171,871.982067
1.0,199,875.551229
1.0,203,879.136109
1.0,172,882.234108
1.0,262,886.861827
1.0,146,889.481595
1.0,127,917.285128
1.0,136,919.750355
1.0,73,921.039333
1.0,157,923.859544
1.0,135,926.260839
1.0,174,929.420205
1.0,136,931.801927
1.0,100,933.558989
1.0,103,935.406266
1.0,157,938.269593
1.0,159,941.072771
1.0,215,944.906767
1.0,136,947.373177
1.0,160,950.23806
1.0,162,978.853215
1.0,87,980.416553
1.0,127,982.684016
1.0,93,984.333383
1.0,125,986.550095
1.0,189,989.963573
1.0,135,992.339971
1.0,132,994.737431
1.0,157,997.517211
1.0,145,1000.099212
1.0,116,1002.195342
1.0,143,1004.735898
1.0,109,1006.681329
1.0,156,1009.434463
1.0,102,1011.246741
1.0,123,1013.454042
1.0,113,1041.683965
1.0,150,1044.371789
1.0,97,1046.119842
1.0,110,1048.066908
1.0,81,1049.488438
1.0,94,1051.17458
1.0,115,1053.201081
1.0,106,1055.082863
1.0,103,1056.930319
1.0,86,1058.445233
1.0,107,1060.339505
1.0,117,1062.458805
1.0,102,1064.270926
1.0,78,1065.6654
1.0,164,1068.566891
1.0,98,1070.286889
1.0,65,1071.283342
1.0,90,1072.894782
1.0,75,1074.296491
1.0,171,1099.293894
1.0,106,1100.593527
1.0,108,1101.991611
1.0,111,1103.973192
1.0,124,1106.197494
1.0,94,1107.875242
1.0,90,1109.490929
1.0,109,1111.454024
1.0,118,1113.569912
1.0,110,1115.52076
1.0,101,1117.350659
1.0,152,1120.067292
1.0,110,1122.009796
1.0,110,1123.984482
1.0,75,1125.32519
1.0,126,1127.563833
1.0,151,1130.28448
1.0,109,1132.244057
1.0,85,1133.779334
1.0,132,1161.443996
1.0,130,1163.752674
1.0,85,1165.253686
1.0,91,1166.388996
1.0,132,1168.514827
1.0,70,1169.781337
1.0,105,1171.662131
1.0,160,1174.514461
1.0,107,1176.431176
