#{"t_start": 1765939518.351847, "env_id": "None"}
r,l,t
0.0,1936,32.87921
0.0,1936,93.240942
0.0,1936,153.772533
0.0,1936,213.778425
0.0,1936,273.90009
0.0,1936,333.653574
0.0,1936,390.863092
1.0,947,433.253906
0.0,1936,480.514939
1.0,341,484.609281
1.0,365,488.991495
1.0,741,497.887494
1.0,277,501.201952
1.0,493,519.163059
1.0,797,530.30215
1.0,174,532.439011
1.0,241,535.367738
1.0,253,538.419177
1.0,283,541.893934
1.0,246,557.247529
1.0,164,559.215771
1.0,161,561.183845
1.0,230,564.021335
1.0,825,574.873781
1.0,526,609.701598
1.0,193,613.148548
1.0,127,615.398329
1.0,442,623.24853
1.0,117,625.338708
1.0,292,630.530692
1.0,118,632.700149
1.0,113,634.699296
1.0,176,637.873157
1.0,145,640.433301
1.0,173,643.467274
1.0,263,673.73234
1.0,304,679.201767
1.0,261,683.844913
1.0,147,686.461581
1.0,175,689.625104
1.0,134,691.987603
1.0,158,694.811374
1.0,175,697.980766
1.0,195,701.462927
1.0,120,703.607905
1.0,148,706.25055
1.0,135,733.952358
1.0,139,736.466328
1.0,173,739.527914
1.0,115,741.598746
1.0,113,743.620892
1.0,185,746.813654
1.0,136,749.12725
1.0,124,751.461876
1.0,143,753.87535
1.0,159,756.815697
1.0,144,759.26107
1.0,119,761.421624
1.0,147,763.483902
1.0,117,764.89651
1.0,137,766.573797
1.0,320,796.418394
1.0,175,799.556607
1.0,157,802.339559
1.0,298,807.635395
1.0,201,811.184522
1.0,142,813.72203
1.0,263,818.411412
1.0,131,820.74977
1.0,126,822.987363
1.0,137,825.433536
1.0,148,828.072258
1.0,211,857.335727
1.0,184,860.619475
1.0,191,864.029093
1.0,195,867.505226
1.0,170,870.507719
1.0,101,872.321481
1.0,109,874.272346
1.0,231,878.403395
1.0,129,880.692263
1.0,230,884.803081
1.0,139,887.258477
1.0,138,889.727652
1.0,153,918.011358
1.0,104,919.845246
1.0,99,921.629863
1.0,110,923.626825
1.0,75,924.924817
1.0,146,927.58785
1.0,121,929.753212
1.0,204,933.319388
1.0,105,935.195458
1.0,186,938.589633
1.0,157,941.349602
1.0,130,943.686525
1.0,122,945.861068
1.0,161,948.742065
1.0,185,952.076444
1.0,222,981.763946
1.0,98,983.540429
1.0,135,985.912545
1.0,132,988.292546
1.0,146,990.912536
1.0,88,992.463282
1.0,121,994.636523
1.0,194,998.098331
1.0,164,1001.018224
1.0,99,1002.804526
1.0,103,1004.617449
1.0,128,1006.905091
1.0,137,1009.323182
1.0,118,1011.450778
1.0,109,1013.395498
1.0,109,1041.551818
1.0,131,1043.908223
1.0,105,1045.793192
1.0,178,1048.936071
1.0,97,1050.65702
1.0,120,1052.78197
1.0,126,1055.009552
1.0,78,1056.401219
1.0,90,1058.01219
1.0,83,1059.486583
1.0,99,1061.232967
1.0,94,1062.924813
1.0,104,1064.785715
1.0,84,1066.289449
1.0,160,1069.12382
1.0,98,1070.836052
1.0,178,1073.91455
1.0,111,1075.820262
1.0,103,1099.577326
1.0,187,1101.926473
1.0,106,1103.823246
1.0,111,1105.814819
1.0,107,1107.722586
1.0,92,1109.36148
1.0,81,1110.803956
1.0,98,1112.5781
1.0,109,1114.524427
1.0,94,1116.18859
1.0,84,1117.716563
1.0,99,1119.476067
1.0,138,1121.948783
1.0,111,1123.917089
1.0,90,1125.520229
1.0,91,1127.131366
1.0,84,1128.656296
1.0,125,1130.900414
1.0,93,1132.573895
1.0,84,1134.080608
1.0,132,1161.745186
1.0,74,1163.052502
1.0,116,1165.144297
1.0,84,1166.210374
1.0,82,1167.377481
1.0,97,1169.106717
1.0,97,1170.817486
1.0,126,1173.072158
1.0,80,1174.520508
1.0,89,1176.113192
1.0,100,1177.901768
1.0,96,1179.585696
1.0,101,1181.396443
1.0,87,1182.948513
1.0,145,1185.534214
1.0,79,1186.913556
1.0,89,1188.509951
1.0,104,1190.395427
1.0,69,1191.626745
1.0,107,1193.535682
1.0,156,1221.266703
1.0,86,1222.775936
1.0,102,1224.601619
1.0,96,1226.338453
1.0,93,1227.995964
1.0,91,1229.623511
1.0,101,1231.456059
1.0,91,1233.066319
1.0,132,1235.39436
1.0,88,1236.922874
1.0,76,1238.29015
1.0,71,1239.561217
1.0,77,1240.946652
1.0,82,1242.404422
1.0,60,1243.494241
1.0,86,1245.022973
1.0,111,1247.013534
1.0,109,1248.98117
1.0,107,1250.896138
1.0,85,1252.404022
1.0,119,1254.511779
1.0,95,1256.198584
1.0,102,1283.267635
1.0,74,1284.578058
1.0,97,1286.307959
1.0,78,1287.704869
1.0,87,1289.254127
1.0,73,1290.559204
1.0,117,1292.677627
1.0,94,1294.334443
1.0,112,1296.355081
1.0,130,1298.702536
1.0,98,1300.467028
1.0,94,1302.120361
1.0,101,1303.971895
1.0,103,1305.822559
1.0,101,1307.619471
1.0,123,1309.810653
1.0,104,1311.672743
1.0,74,1313.007003
1.0,107,1314.890239
1.0,84,1316.34337
1.0,89,1317.911897
1.0,91,1344.661647
1.0,84,1346.185043
1.0,67,1347.350361
1.0,99,1349.141221
1.0,70,1350.407419
1.0,96,1352.116037
1.0,83,1353.625993
1.0,92,1355.249323
1.0,75,1356.564047
1.0,66,1357.734292
1.0,100,1359.518517
1.0,70,1360.775032
1.0,80,1362.182414
1.0,78,1363.583951
1.0,66,1364.742226
1.0,66,1365.933832
1.0,88,1367.5104
1.0,69,1368.753163
1.0,82,1370.184423
1.0,106,1372.084975
1.0,72,1373.379293
1.0,81,1374.858814
1.0,104,1376.692888
1.0,110,1378.679652
1.0,83,1380.155224
1.0,95,1407.687601
1.0,89,1409.134139
