#{"t_start": 1765939518.3515925, "env_id": "None"}
r,l,t
1.0,994,16.117133
0.0,1936,76.439013
0.0,1936,136.933652
1.0,1124,156.992803
0.0,1936,217.001641
1.0,929,259.233549
1.0,1646,314.182787
0.0,1936,370.939127
1.0,847,386.07382
1.0,229,390.153774
1.0,439,397.98197
1.0,574,433.743799
1.0,979,451.326897
1.0,698,463.838342
1.0,791,487.22919
1.0,298,490.803828
1.0,990,502.678837
1.0,353,518.95333
1.0,341,523.080568
1.0,265,526.606786
1.0,269,531.064492
1.0,219,533.733668
1.0,280,537.128699
1.0,339,541.238682
1.0,249,556.650249
1.0,251,559.671522
1.0,154,561.575681
1.0,199,564.01891
1.0,288,567.508203
1.0,237,570.379574
1.0,232,573.63686
1.0,305,579.060447
1.0,321,610.291527
1.0,189,613.620672
1.0,144,616.172976
1.0,181,619.375197
1.0,151,622.09687
1.0,95,623.794343
1.0,142,626.321846
1.0,167,629.286999
1.0,200,632.892015
1.0,158,635.727165
1.0,156,638.521757
1.0,130,640.808262
1.0,170,643.807634
1.0,230,673.480369
1.0,142,676.057642
1.0,131,678.385196
1.0,238,682.62085
1.0,161,685.495482
1.0,212,689.312858
1.0,181,692.53151
1.0,148,695.164412
1.0,129,697.492097
1.0,235,701.701532
1.0,157,704.508491
1.0,139,707.006456
1.0,167,735.278535
1.0,233,739.453318
1.0,129,741.738532
1.0,159,744.43574
1.0,129,746.79778
1.0,115,748.832303
1.0,168,751.869064
1.0,103,753.592737
1.0,219,757.579009
1.0,181,760.686374
1.0,182,763.418173
1.0,202,765.869784
1.0,148,792.327347
1.0,125,794.566676
1.0,133,796.940089
1.0,176,800.063072
1.0,184,803.360109
1.0,154,806.070462
1.0,123,808.268378
1.0,350,814.48992
1.0,217,818.339357
1.0,114,820.398669
1.0,89,821.982994
1.0,132,824.312552
1.0,269,854.657024
1.0,113,856.649233
1.0,174,859.75964
1.0,253,864.277833
1.0,152,866.945636
1.0,178,870.115047
1.0,156,872.911729
1.0,121,875.074082
1.0,115,877.141298
1.0,105,879.003615
1.0,147,881.625955
1.0,115,883.659168
1.0,78,885.048026
1.0,89,886.634302
1.0,151,889.346965
1.0,98,916.588694
1.0,124,918.856347
1.0,179,922.049528
1.0,167,924.997155
1.0,136,927.51579
1.0,88,929.093647
1.0,141,931.572814
1.0,127,933.806331
1.0,106,935.695139
1.0,159,938.587136
1.0,148,941.224231
1.0,139,943.68408
1.0,107,945.603627
1.0,100,947.404531
1.0,164,950.332227
1.0,161,978.957388
1.0,214,982.773009
1.0,82,984.259304
1.0,90,985.846961
1.0,199,989.406857
1.0,210,993.147161
1.0,108,995.109122
1.0,113,997.116564
1.0,146,999.696203
1.0,86,1001.258961
1.0,75,1002.578573
