#{"t_start": 1765939518.349026, "env_id": "None"}
r,l,t
0.0,1936,32.867264
1.0,1068,77.750435
0.0,1936,138.256896
1.0,1812,196.047154
1.0,1703,252.082838
0.0,1936,312.225486
1.0,390,319.028746
1.0,1127,337.296543
1.0,1566,389.439729
1.0,750,402.811713
1.0,355,434.688
1.0,945,451.659683
1.0,306,457.133166
1.0,647,481.013531
1.0,1385,497.641641
1.0,251,500.644131
1.0,545,519.228268
1.0,355,523.527236
1.0,216,526.404976
1.0,685,535.973519
1.0,309,539.685352
1.0,432,557.34858
1.0,180,559.508441
1.0,211,562.114716
1.0,155,564.013473
1.0,209,566.546841
1.0,154,568.410603
1.0,228,571.1749
1.0,114,572.700332
1.0,178,575.893088
1.0,255,580.385022
1.0,261,610.572982
1.0,188,613.881177
1.0,114,615.916989
1.0,182,619.134128
1.0,126,621.365325
1.0,166,624.35998
1.0,195,627.858273
1.0,153,630.540394
1.0,181,633.80351
1.0,125,636.060165
1.0,162,638.936116
1.0,244,643.269358
1.0,118,645.311615
1.0,197,674.455232
1.0,99,676.242775
1.0,154,678.996556
1.0,132,681.328248
1.0,165,684.29067
1.0,102,686.111625
1.0,156,688.922976
1.0,181,692.141993
1.0,201,695.734137
1.0,169,698.759345
1.0,150,701.456119
1.0,153,704.182884
1.0,137,706.652692
1.0,273,736.841421
1.0,125,739.061025
1.0,159,741.89432
1.0,128,744.139578
1.0,271,748.880238
1.0,119,751.021356
1.0,89,752.670832
1.0,89,754.104431
1.0,309,759.573148
1.0,100,761.391835
1.0,117,763.092692
1.0,88,764.165184
1.0,138,765.841778
1.0,124,791.872848
1.0,166,794.832746
1.0,193,798.278293
1.0,247,802.666367
1.0,181,805.880545
1.0,185,809.183653
1.0,210,812.900935
1.0,106,814.780816
1.0,186,818.101931
1.0,177,821.260704
1.0,184,824.53758
1.0,112,826.524229
1.0,111,854.035473
1.0,143,856.591001
1.0,148,859.204496
1.0,150,861.893688
1.0,216,865.725458
1.0,158,868.528476
1.0,118,870.651927
1.0,100,872.405492
1.0,128,874.710172
1.0,167,877.700764
1.0,124,879.889455
1.0,92,881.542395
1.0,320,887.228328
1.0,141,889.749817
1.0,121,917.477802
1.0,136,919.886577
1.0,170,922.944369
1.0,92,924.578215
1.0,222,928.588182
1.0,103,930.411694
1.0,237,934.58779
1.0,127,936.918103
1.0,131,939.260214
1.0,134,941.626165
1.0,101,943.437966
1.0,137,945.880355
1.0,125,948.102853
1.0,107,950.027827
1.0,113,952.069579
1.0,77,979.169656
1.0,123,981.380695
1.0,102,983.214126
1.0,89,984.797924
1.0,212,988.580723
1.0,147,991.204598
1.0,84,992.670534
1.0,195,996.189751
1.0,125,998.411297
1.0,164,1001.335757
1.0,97,1003.075029
1.0,80,1004.491302
1.0,97,1006.220934
1.0,115,1008.277541
1.0,235,1012.462428
1.0,193,1042.115769
1.0,86,1043.644516
1.0,102,1045.500149
1.0,135,1047.868531
1.0,76,1049.224695
1.0,115,1051.281005
1.0,109,1053.198988
1.0,196,1056.699495
1.0,94,1058.351471
1.0,105,1060.224257
1.0,97,1061.950068
1.0,112,1063.971542
1.0,105,1065.822431
1.0,100,1067.602015
1.0,86,1069.141173
1.0,89,1070.709077
1.0,92,1072.158843
1.0,122,1074.427238
1.0,83,1075.813041
1.0,111,1099.666085
1.0,104,1100.949422
1.0,139,1103.032183
1.0,96,1104.791697
1.0,91,1106.419095
1.0,84,1107.896922
1.0,108,1109.839814
1.0,152,1112.571451
1.0,85,1114.083554
1.0,122,1116.256998
1.0,96,1118.000391
1.0,100,1119.771965
1.0,90,1121.368304
1.0,147,1124.008321
1.0,92,1125.645152
1.0,113,1127.668054
1.0,99,1129.408709
1.0,123,1131.634935
1.0,144,1134.219995
1.0,93,1161.225053
1.0,79,1162.625802
1.0,88,1164.184504
1.0,101,1165.750199
1.0,117,1167.357534
1.0,131,1169.687466
1.0,130,1172.020034
1.0,107,1173.934754
1.0,83,1175.403583
1.0,82,1176.897872
1.0,99,1178.616189
1.0,107,1180.516019
1.0,142,1183.044662
1.0,54,1184.010803
1.0,94,1185.685175
1.0,124,1187.887235
1.0,133,1190.289793
1.0,108,1192.217669
1.0,96,1193.937637
1.0,87,1195.497435
1.0,125,1222.672924
1.0,77,1224.010981
1.0,100,1225.829434
1.0,84,1227.329317
1.0,91,1228.961062
1.0,90,1230.577547
1.0,89,1232.167916
1.0,83,1233.631085
1.0,77,1234.987602
1.0,96,1236.675028
1.0,118,1238.772435
1.0,115,1240.862204
1.0,80,1242.256018
1.0,99,1244.064185
1.0,158,1246.866101
1.0,72,1248.170819
1.0,95,1249.890193
1.0,72,1251.182913
1.0,85,1252.6763
1.0,80,1254.115721
1.0,66,1255.274903
1.0,79,1256.699798
1.0,120,1284.055893
1.0,73,1285.350049
1.0,111,1287.339158
1.0,80,1288.77108
1.0,112,1290.77005
1.0,115,1292.841952
1.0,108,1294.772593
1.0,74,1296.108629
1.0,77,1297.514996
1.0,112,1299.505267
1.0,81,1300.953094
1.0,75,1302.312731
1.0,105,1304.19105
1.0,78,1305.613189
1.0,81,1307.047013
1.0,81,1308.504203
1.0,92,1310.122326
1.0,115,1312.16658
1.0,101,1313.986017
1.0,89,1315.549642
1.0,74,1316.862703
1.0,122,1319.021392
1.0,92,1345.770701
1.0,115,1347.825547
1.0,92,1349.476264
1.0,91,1351.11178
1.0,107,1353.043207
1.0,92,1354.665022
1.0,79,1356.043835
1.0,92,1357.691978
1.0,87,1359.231143
1.0,76,1360.592619
1.0,96,1362.323549
1.0,66,1363.476467
1.0,70,1364.710411
1.0,76,1366.08542
1.0,103,1367.906474
1.0,81,1369.392947
1.0,65,1370.520345
1.0,126,1372.795967
1.0,74,1374.131333
1.0,78,1375.531635
1.0,84,1377.008989
1.0,87,1378.565784
1.0,82,1380.068971
1.0,84,1407.381252
1.0,104,1409.08384
1.0,105,1411.016183
1.0,75,1412.366638
1.0,89,1413.852176
1.0,117,1416.018744
1.0,100,1417.617093
1.0,81,1419.107325
1.0,72,1420.395483
1.0,89,1421.810131
1.0,76,1423.234843
1.0,78,1424.648522
1.0,82,1426.030168
1.0,110,1427.372233
1.0,105,1428.66378
1.0,97,1429.842704
1.0,75,1430.763881
1.0,85,1431.821069
1.0,166,1434.592485
1.0,174,1437.661896
1.0,96,1439.370722
1.0,76,1466.282673
1.0,82,1467.73558
1.0,54,1468.696666
1.0,90,1470.263752
1.0,69,1471.496444
1.0,104,1473.397612
1.0,75,1474.735359
1.0,106,1476.649906
1.0,95,1478.318544
1.0,64,1479.485962
1.0,77,1480.852039
1.0,119,1482.988664
1.0,61,1484.081338
1.0,117,1486.118231
1.0,76,1487.463914
1.0,95,1489.165205
1.0,79,1490.553194
1.0,70,1491.813885
1.0,84,1493.313531
1.0,127,1495.606194
1.0,81,1497.013708
1.0,100,1498.831086
1.0,64,1499.967538
1.0,62,1501.082523
1.0,66,1527.638406
1.0,69,1528.870718
1.0,68,1530.092036
1.0,57,1531.12649
1.0,55,1532.116917
1.0,110,1534.083258
1.0,59,1535.140656
1.0,83,1536.588001
1.0,80,1538.003495
1.0,88,1539.578084
1.0,98,1541.340314
1.0,58,1542.349331
1.0,60,1543.421466
1.0,55,1544.400823
1.0,92,1546.013033
1.0,68,1547.206469
1.0,63,1548.346033
1.0,67,1549.53146
1.0,116,1551.601054
1.0,80,1552.995834
1.0,106,1554.897515
1.0,72,1556.179187
1.0,89,1557.751637
1.0,70,1558.957828
1.0,90,1560.563653
1.0,68,1561.775922
1.0,63,1562.931892
1.0,61,1589.00915
1.0,72,1590.288016
1.0,78,1591.697402
1.0,87,1593.232083
1.0,68,1594.450664
1.0,68,1595.680285
1.0,72,1596.967431
1.0,82,1598.439855
1.0,57,1599.464856
1.0,50,1600.33268
1.0,62,1601.449706
1.0,69,1602.689379
1.0,86,1604.21195
1.0,109,1606.150198
1.0,65,1607.27511
1.0,69,1608.533436
1.0,59,1609.594409
1.0,74,1610.943248
1.0,78,1612.315544
1.0,80,1613.736115
1.0,73,1615.027681
1.0,70,1616.285992
1.0,69,1617.505323
1.0,90,1619.152019
1.0,56,1620.155675
1.0,94,1621.820084
1.0,91,1623.433521
1.0,57,1624.462885
1.0,91,1651.512292
1.0,71,1652.789477
1.0,56,1653.779678
1.0,57,1654.793697
1.0,60,1655.894298
1.0,67,1657.095214
1.0,61,1658.214149
1.0,71,1659.483674
1.0,57,1660.495871
1.0,57,1661.509224
1.0,79,1662.905231
1.0,59,1663.974333
1.0,61,1665.071802
1.0,63,1666.176951
1.0,70,1667.423998
1.0,78,1668.819425
1.0,79,1670.235627
1.0,68,1671.467308
1.0,78,1672.844931
1.0,80,1674.250342
1.0,80,1675.670776
1.0,72,1676.953083
1.0,62,1678.035455
1.0,67,1679.247138
1.0,56,1680.24663
1.0,65,1681.417869
1.0,51,1682.312191
1.0,81,1683.771062
1.0,64,1684.917488
1.0,59,1685.974985
1.0,85,1712.872722
1.0,68,1714.089193
1.0,55,1715.089001
1.0,84,1716.592365
1.0,63,1717.718544
1.0,68,1718.945457
1.0,85,1720.440439
1.0,53,1721.371883
1.0,84,1722.865866
1.0,56,1723.875556
1.0,62,1725.01521
1.0,57,1726.036485
1.0,64,1727.173589
1.0,61,1728.268454
1.0,66,1729.430265
1.0,60,1730.529075
1.0,62,1731.626442
1.0,65,1732.813677
1.0,65,1733.948547
1.0,72,1735.229122
1.0,61,1736.313541
1.0,85,1737.643901
1.0,63,1738.818628
1.0,58,1739.874019
1.0,62,1741.002691
1.0,69,1742.05627
1.0,79,1743.518106
1.0,77,1744.939857
1.0,68,1746.007881
1.0,65,1747.177491
1.0,89,1748.788436
1.0,59,1768.644335
1.0,50,1769.55646
1.0,65,1770.714138
1.0,56,1771.72114
1.0,60,1772.770791
1.0,70,1774.028129
1.0,67,1775.211482
1.0,70,1776.432341
1.0,60,1777.524052
1.0,58,1778.572018
1.0,59,1779.611364
1.0,68,1780.834312
1.0,54,1781.812889
1.0,54,1782.795049
1.0,68,1784.01802
1.0,51,1784.915705
1.0,59,1785.977225
1.0,54,1786.988924
1.0,70,1788.252479
1.0,77,1789.588545
1.0,61,1790.674051
1.0,57,1791.690331
1.0,67,1792.880951
1.0,72,1794.157142
1.0,68,1795.378324
1.0,70,1796.61288
1.0,53,1797.552548
1.0,58,1798.556104
1.0,50,1799.434089
1.0,75,1800.769371
1.0,67,1801.983699
1.0,58,1803.018828
1.0,57,1804.033371
1.0,94,1831.089052
1.0,68,1832.286994
1.0,70,1833.52338
1.0,76,1834.892541
1.0,78,1836.317377
1.0,50,1837.208777
1.0,50,1838.099161
1.0,113,1840.116679
1.0,109,1842.067427
1.0,61,1843.151749
1.0,68,1844.386204
1.0,57,1845.390857
1.0,60,1846.468989
1.0,71,1847.727098
1.0,75,1849.06892
1.0,54,1850.043309
1.0,91,1851.677846
1.0,72,1852.924859
1.0,69,1854.135043
1.0,124,1856.35518
1.0,89,1857.933449
1.0,91,1859.549484
1.0,98,1861.325145
1.0,68,1862.519379
1.0,71,1863.781884
1.0,70,1865.000127
1.0,49,1865.883699
1.0,71,1892.645246
1.0,82,1894.066433
1.0,59,1895.139255
1.0,81,1896.56494
1.0,106,1898.490799
1.0,59,1899.540518
1.0,89,1901.114281
1.0,56,1902.115219
1.0,87,1903.65517
1.0,56,1904.68874
1.0,75,1906.052951
1.0,63,1907.162735
1.0,63,1908.288219
1.0,71,1909.546599
1.0,79,1910.968804
1.0,103,1912.840125
1.0,68,1914.032171
1.0,107,1915.944427
1.0,75,1917.308271
1.0,67,1918.496389
1.0,64,1919.669044
1.0,67,1920.866823
1.0,109,1922.814687
1.0,71,1924.095344
1.0,61,1925.173903
1.0,73,1926.4714
1.0,66,1927.668994
1.0,58,1954.116785
1.0,49,1954.994265
1.0,111,1956.990208
1.0,60,1958.03277
1.0,55,1958.998977
1.0,53,1959.958034
1.0,59,1961.005507
1.0,78,1962.395933
1.0,70,1963.610284
1.0,58,1964.643918
1.0,62,1965.728442
1.0,79,1967.15819
1.0,48,1968.014332
1.0,102,1969.870229
1.0,72,1971.139921
1.0,63,1972.234318
1.0,66,1973.432265
1.0,62,1974.543918
1.0,54,1975.509124
1.0,64,1976.650129
1.0,64,1977.783351
1.0,71,1979.033195
1.0,53,1979.981051
1.0,63,1981.11002
1.0,61,1982.192165
1.0,54,1983.1505
1.0,62,1984.256558
1.0,52,1985.180543
1.0,54,1986.140076
1.0,56,1987.143293
1.0,59,1988.184747
1.0,57,1989.18858
1.0,66,1990.380935
1.0,56,2016.855695
1.0,125,2019.104979
1.0,56,2020.100207
1.0,79,2021.473362
1.0,64,2022.630826
1.0,79,2024.014975
1.0,66,2025.216774
1.0,72,2026.512156
1.0,66,2027.673646
1.0,49,2028.523371
1.0,76,2029.894444
1.0,63,2031.053497
1.0,67,2032.249155
1.0,63,2033.366375
1.0,64,2034.530262
1.0,57,2035.541015
1.0,56,2036.527046
1.0,58,2037.540963
1.0,63,2038.690983
1.0,58,2039.720493
1.0,63,2040.826325
1.0,71,2042.081557
1.0,61,2043.192369
1.0,52,2044.11102
1.0,53,2045.072989
1.0,64,2046.203795
1.0,68,2047.434191
1.0,74,2048.728809
1.0,58,2049.758844
1.0,58,2050.821778
1.0,59,2051.909586
1.0,54,2078.299506
1.0,57,2079.345028
1.0,73,2080.689262
1.0,55,2081.56704
1.0,81,2082.960539
1.0,61,2084.061174
1.0,64,2085.193806
1.0,54,2086.047905
1.0,77,2086.926672
1.0,71,2087.744485
1.0,65,2088.506589
1.0,59,2089.267319
1.0,91,2090.451383
1.0,71,2091.319504
1.0,65,2092.160229
1.0,113,2094.171436
1.0,61,2095.246318
1.0,61,2096.316593
1.0,58,2097.358588
1.0,84,2098.844539
1.0,60,2099.928461
1.0,55,2100.893708
1.0,69,2102.130075
1.0,63,2103.297222
1.0,63,2104.406311
1.0,86,2105.956129
1.0,71,2107.223873
1.0,59,2108.226498
1.0,73,2109.525155
1.0,57,2110.567828
1.0,64,2137.249735
1.0,63,2138.366344
1.0,87,2139.909893
1.0,95,2141.602157
1.0,51,2142.495569
1.0,106,2144.400881
1.0,59,2145.453865
1.0,59,2146.506876
1.0,80,2147.896171
1.0,62,2148.970341
1.0,54,2149.938456
1.0,89,2151.529405
1.0,52,2152.466821
1.0,57,2153.489389
1.0,101,2155.287516
1.0,81,2156.693418
1.0,77,2158.082962
1.0,87,2159.630276
1.0,66,2160.83045
1.0,65,2161.999907
1.0,80,2163.398422
1.0,73,2164.692557
1.0,66,2165.837333
1.0,58,2166.896255
1.0,69,2168.113985
1.0,97,2169.841159
1.0,67,2171.007982
1.0,69,2172.227202
