#{"t_start": 1765569121.8605616, "env_id": "None"}
r,l,t
0.0,576,1.950232
1.0,298,2.775527
0.0,576,4.688854
0.0,576,6.57978
0.0,576,8.799321
1.0,293,9.599477
1.0,315,10.769779
1.0,153,11.193491
1.0,169,11.654229
1.0,124,12.276952
1.0,115,12.59433
1.0,128,12.942266
1.0,141,13.32688
1.0,159,14.043171
1.0,97,14.308765
1.0,104,14.591871
1.0,81,14.8145
1.0,83,15.045148
1.0,127,15.672041
1.0,57,15.827879
1.0,174,16.305668
1.0,97,16.569847
1.0,108,17.144362
1.0,35,17.240195
1.0,50,17.380726
1.0,73,17.579739
1.0,55,17.730101
1.0,38,17.834085
1.0,111,18.134544
1.0,64,18.309366
1.0,78,18.522246
1.0,45,18.928401
1.0,43,19.04604
1.0,50,19.183132
1.0,67,19.365581
1.0,58,19.52381
1.0,39,19.630632
1.0,74,19.832124
1.0,73,20.037343
1.0,65,20.49524
1.0,41,20.607601
1.0,44,20.728114
1.0,37,20.82969
1.0,41,20.942173
1.0,31,21.027534
1.0,70,21.22514
1.0,43,21.342954
1.0,40,21.452206
1.0,43,21.569581
1.0,46,21.69554
1.0,37,21.7972
1.0,40,22.187331
1.0,34,22.280917
1.0,36,22.379673
1.0,50,22.523276
1.0,38,22.626746
1.0,33,22.717375
1.0,39,22.823566
1.0,38,22.927689
1.0,39,23.034332
1.0,63,23.20696
1.0,39,23.313369
1.0,36,23.411922
1.0,31,23.49706
1.0,36,23.887328
1.0,30,23.973369
1.0,26,24.046726
1.0,36,24.147216
1.0,33,24.23891
1.0,31,24.324942
1.0,43,24.44764
1.0,34,24.541492
1.0,39,24.648839
1.0,37,24.75008
1.0,29,24.830362
1.0,24,24.896289
1.0,36,24.995023
1.0,30,25.077227
1.0,27,25.151981
1.0,36,25.251017
1.0,28,25.638854
1.0,33,25.7351
1.0,23,25.797715
1.0,29,25.877455
1.0,50,26.015273
1.0,29,26.094931
1.0,29,26.173943
1.0,25,26.242818
1.0,25,26.312246
1.0,31,26.397291
1.0,26,26.469079
1.0,37,26.570346
1.0,30,26.652775
1.0,27,26.727323
1.0,34,26.820467
1.0,26,26.891838
1.0,30,26.979393
1.0,27,27.366704
1.0,29,27.446657
1.0,28,27.524113
1.0,33,27.614949
1.0,33,27.705493
1.0,32,27.793277
1.0,34,27.886965
1.0,28,27.963469
1.0,28,28.040213
1.0,34,28.133344
1.0,36,28.23833
1.0,31,28.324528
1.0,23,28.386855
1.0,23,28.45076
1.0,28,28.527564
1.0,24,28.593976
1.0,32,28.681972
1.0,33,29.080529
1.0,40,29.190745
1.0,37,29.292898
1.0,25,29.3609
1.0,27,29.43552
1.0,31,29.526181
1.0,25,29.594366
1.0,26,29.666433
1.0,43,29.78465
1.0,38,29.888771
1.0,30,29.971602
1.0,38,30.075713
1.0,45,30.198825
1.0,26,30.270483
1.0,29,30.348806
1.0,25,30.417873
1.0,42,30.844784
1.0,25,30.913876
1.0,32,31.001993
1.0,45,31.125204
1.0,33,31.215537
1.0,30,31.297606
1.0,31,31.382906
1.0,29,31.462905
1.0,49,31.597243
1.0,33,31.688054
1.0,38,31.792281
1.0,36,31.891022
1.0,33,31.98114
1.0,43,32.102949
1.0,39,32.524037
1.0,35,32.620766
1.0,61,32.788077
1.0,38,32.892466
1.0,36,32.99157
1.0,48,33.123217
1.0,40,33.233196
1.0,51,33.378562
1.0,67,33.562832
1.0,38,33.667547
1.0,28,33.7448
1.0,57,33.900675
1.0,26,34.279617
1.0,29,34.359137
1.0,33,34.449756
1.0,39,34.557447
1.0,53,34.707279
1.0,29,34.786879
1.0,39,34.894529
1.0,33,34.985075
1.0,28,35.061877
1.0,68,35.248263
1.0,33,35.338962
1.0,38,35.443056
1.0,55,35.594057
1.0,29,35.980976
1.0,30,36.063402
1.0,34,36.156631
1.0,43,36.274368
1.0,31,36.359646
1.0,34,36.453178
1.0,27,36.527778
1.0,49,36.662821
1.0,54,36.811354
1.0,24,36.87788
1.0,25,36.946665
1.0,30,37.028624
1.0,50,37.17212
1.0,26,37.243991
1.0,32,37.332372
1.0,30,37.728528
1.0,27,37.802661
1.0,31,37.887836
1.0,27,37.962621
1.0,34,38.055603
1.0,23,38.119296
1.0,30,38.2021
1.0,27,38.276827
1.0,26,38.348995
1.0,29,38.434248
1.0,24,38.500739
1.0,34,38.5941
1.0,25,38.663361
1.0,25,38.731603
1.0,30,38.814255
1.0,31,38.899732
1.0,25,38.968381
1.0,24,39.035036
1.0,34,39.429957
1.0,25,39.499205
1.0,22,39.560444
1.0,26,39.632386
1.0,25,39.707341
1.0,24,39.774037
1.0,25,39.843404
1.0,36,39.942285
1.0,25,40.011385
1.0,29,40.091593
1.0,29,40.171477
1.0,24,40.237848
1.0,26,40.310219
1.0,24,40.376237
1.0,28,40.453533
1.0,31,40.538749
1.0,26,40.610605
1.0,54,40.759963
1.0,23,41.109225
1.0,22,41.17011
1.0,20,41.22562
1.0,23,41.289293
1.0,22,41.350418
1.0,21,41.408521
1.0,27,41.483232
1.0,21,41.541108
1.0,26,41.612898
1.0,22,41.674011
1.0,25,41.743659
1.0,31,41.82901
1.0,21,41.887447
1.0,27,41.962089
1.0,21,42.020233
1.0,28,42.097528
1.0,21,42.155919
1.0,26,42.233943
1.0,25,42.303459
1.0,25,42.372144
1.0,30,42.455714
1.0,26,42.526873
