#{"t_start": 1765565896.6120915, "env_id": "None"}
r,l,t
0.0,576,1.915182
0.540625,294,2.723606
0.2375,488,4.343808
0.0,576,6.203026
0.0,576,8.066149
0.0,576,10.270372
0.83125,108,10.57105
0.851562,95,10.829932
0.814063,119,11.152443
0.61875,244,12.136133
0.948438,33,12.22628
0.876563,79,12.440972
0.865625,86,12.675158
0.898438,65,12.851731
0.8375,104,13.146146
0.820312,115,13.760093
0.909375,58,13.918646
0.871875,82,14.14133
0.942187,37,14.242588
0.901563,63,14.415526
0.834375,106,14.705045
0.754687,157,15.453979
0.917188,53,15.5982
0.907813,59,15.75841
0.940625,38,15.861896
0.935937,41,15.973679
0.879687,77,16.184027
0.921875,50,16.324708
0.859375,90,16.570482
0.875,80,17.101678
0.904687,61,17.267506
0.909375,58,17.425988
0.951562,31,17.516816
0.948438,33,17.606877
0.935937,41,17.718789
0.954688,29,17.797459
0.915625,54,17.943979
0.9375,40,18.052655
0.8875,72,18.249967
0.907813,59,18.410551
0.928125,46,18.846519
0.942187,37,18.947079
0.935937,41,19.059862
0.890625,70,19.250759
0.95625,28,19.325744
0.909375,58,19.483196
0.948438,33,19.572849
0.904687,61,19.739325
0.954688,29,19.818194
0.934375,42,19.932035
0.915625,54,20.082905
0.935937,41,20.195282
0.945312,35,20.607806
0.951562,31,20.69203
0.951562,31,20.776863
0.960938,25,20.845673
0.953125,30,20.927017
0.953125,30,21.009307
0.925,48,21.139702
0.948438,33,21.230258
0.925,48,21.364825
0.960938,25,21.433067
0.934375,42,21.547968
0.915625,54,21.694291
0.935937,41,21.805724
0.960938,25,21.874665
0.964063,23,22.237859
0.951562,31,22.322865
0.951562,31,22.407604
0.957812,27,22.481279
0.960938,25,22.549801
0.957812,27,22.624951
0.957812,27,22.702323
0.960938,25,22.771639
0.96875,20,22.82673
0.95625,28,22.903589
0.959375,26,22.975109
0.96875,20,23.0304
0.964063,23,23.093923
0.9625,24,23.15948
0.951562,31,23.245483
0.95,32,23.332558
0.953125,30,23.415216
0.953125,30,23.497558
0.960938,25,23.565994
0.95,32,23.93959
0.959375,26,24.010736
0.96875,20,24.066345
0.957812,27,24.140624
0.954688,29,24.220268
0.967187,21,24.278354
0.9625,24,24.344506
0.967187,21,24.402796
0.960938,25,24.471784
0.964063,23,24.535136
0.9625,24,24.60135
0.959375,26,24.672989
0.959375,26,24.744682
0.951562,31,24.830638
0.964063,23,24.893992
0.970313,19,24.946244
0.957812,27,25.021175
0.960938,25,25.088865
0.9625,24,25.155004
0.9625,24,25.226027
0.959375,26,25.297798
0.9625,24,25.644139
0.964063,23,25.707716
0.959375,26,25.779173
0.960938,25,25.848106
0.967187,21,25.906378
0.965625,22,25.967274
0.960938,25,26.036206
0.9625,24,26.1028
0.964063,23,26.166254
0.95625,28,26.243094
0.954688,29,26.323021
0.959375,26,26.394516
0.970313,19,26.446754
0.965625,22,26.512687
0.954688,29,26.592285
0.967187,21,26.650521
0.959375,26,26.722065
0.965625,22,26.78263
0.9625,24,26.848839
0.9625,24,26.914919
0.967187,21,26.973132
0.957812,27,27.328218
