#{"t_start": 1765569121.860786, "env_id": "None"}
r,l,t
0.0,576,1.951077
0.0,576,3.856266
0.0,576,5.755953
1.0,303,6.594642
1.0,207,7.482866
0.0,576,9.37792
1.0,361,10.675153
1.0,115,10.989153
1.0,214,11.578187
1.0,130,12.214061
1.0,110,12.519724
1.0,212,13.097605
1.0,133,13.460274
1.0,131,14.101161
1.0,66,14.281663
1.0,72,14.478404
1.0,106,14.766778
1.0,85,15.004503
1.0,79,15.500942
1.0,86,15.734953
1.0,87,15.972883
1.0,51,16.116294
1.0,89,16.357678
1.0,34,16.450117
1.0,124,16.787385
1.0,57,17.223271
1.0,48,17.356411
1.0,52,17.501634
1.0,61,17.66762
1.0,54,17.814969
1.0,47,17.942516
1.0,105,18.227902
1.0,42,18.342808
1.0,46,18.467997
1.0,84,18.981441
1.0,62,19.150378
1.0,66,19.330363
1.0,42,19.445511
1.0,46,19.570814
1.0,34,19.664258
1.0,86,19.903512
1.0,45,20.026473
1.0,44,20.146662
1.0,41,20.53939
1.0,43,20.656859
1.0,35,20.753145
1.0,57,20.909615
1.0,37,21.011112
1.0,37,21.11286
1.0,37,21.219594
1.0,33,21.31046
1.0,50,21.446626
1.0,45,21.570366
1.0,51,21.70983
1.0,51,21.850106
1.0,54,22.278014
1.0,31,22.36336
1.0,36,22.467822
1.0,42,22.583113
1.0,30,22.665681
1.0,42,22.780408
1.0,41,22.892354
1.0,35,22.988134
1.0,33,23.07851
1.0,34,23.171406
1.0,29,23.250614
1.0,34,23.343725
1.0,32,23.431396
1.0,59,23.884047
1.0,28,23.964942
1.0,32,24.055752
1.0,36,24.156765
1.0,33,24.247738
1.0,56,24.402266
1.0,28,24.484522
1.0,35,24.580181
1.0,56,24.733916
1.0,28,24.81125
1.0,35,24.907824
1.0,34,25.00121
1.0,41,25.113746
1.0,32,25.202122
1.0,29,25.281798
1.0,26,25.66386
1.0,38,25.773424
1.0,40,25.883639
1.0,27,25.957867
1.0,30,26.040637
1.0,32,26.128356
1.0,27,26.202554
1.0,24,26.268631
1.0,32,26.356484
1.0,37,26.458129
1.0,33,26.548575
1.0,22,26.609607
1.0,35,26.705602
1.0,41,26.817567
1.0,28,26.895279
1.0,30,26.982872
1.0,37,27.396972
1.0,29,27.47748
1.0,28,27.554838
1.0,31,27.639922
1.0,34,27.733048
1.0,27,27.807528
1.0,23,27.870123
1.0,30,27.952054
1.0,27,28.026632
1.0,34,28.119724
1.0,30,28.202854
1.0,37,28.309972
1.0,40,28.420457
1.0,25,28.4897
1.0,28,28.566963
1.0,32,28.654945
1.0,34,28.748142
1.0,32,29.144448
1.0,59,29.307113
1.0,37,29.408455
1.0,37,29.515246
1.0,41,29.628497
1.0,39,29.735283
1.0,38,29.839859
1.0,25,29.908574
1.0,39,30.015674
1.0,49,30.149711
1.0,40,30.259057
1.0,41,30.372005
1.0,36,30.470449
1.0,36,30.880523
1.0,36,30.980203
1.0,37,31.081207
1.0,35,31.177285
1.0,39,31.284077
1.0,30,31.366539
1.0,26,31.438015
1.0,27,31.512322
1.0,51,31.652421
1.0,35,31.748112
1.0,41,31.861176
1.0,61,32.028766
1.0,37,32.133193
1.0,41,32.560427
1.0,51,32.700627
1.0,44,32.821406
1.0,37,32.923468
1.0,30,33.006258
1.0,40,33.114964
1.0,66,33.298659
1.0,34,33.395947
1.0,38,33.499824
1.0,25,33.569128
1.0,24,33.634197
1.0,39,33.741868
1.0,41,33.854455
1.0,33,34.252223
1.0,45,34.376035
1.0,32,34.464045
1.0,25,34.532466
1.0,41,34.650154
1.0,29,34.729951
1.0,43,34.84805
1.0,34,34.941447
1.0,51,35.082027
1.0,39,35.188746
1.0,38,35.29247
1.0,23,35.355838
1.0,39,35.463149
1.0,35,35.558418
1.0,31,35.643888
1.0,38,36.055018
1.0,29,36.134982
1.0,29,36.214911
1.0,36,36.313159
1.0,33,36.403859
1.0,43,36.522165
1.0,28,36.599278
1.0,34,36.693207
1.0,32,36.781197
1.0,25,36.850373
1.0,33,36.941005
1.0,32,37.029433
1.0,28,37.107185
1.0,25,37.180882
1.0,38,37.285552
1.0,31,37.684705
1.0,25,37.753559
1.0,30,37.836136
1.0,44,37.957036
1.0,42,38.072461
1.0,36,38.172217
1.0,36,38.271278
1.0,23,38.335368
1.0,38,38.445842
1.0,24,38.512295
1.0,31,38.597551
1.0,22,38.657775
1.0,29,38.737781
1.0,39,38.844808
1.0,23,38.908525
1.0,33,38.999181
1.0,26,39.070837
1.0,26,39.44416
1.0,30,39.527373
1.0,22,39.58801
1.0,26,39.660856
1.0,26,39.737839
1.0,31,39.824335
1.0,27,39.899035
1.0,29,39.978952
1.0,27,40.053831
1.0,28,40.130967
1.0,27,40.205559
1.0,30,40.288088
1.0,36,40.387743
1.0,31,40.473237
1.0,29,40.552968
1.0,26,40.62502
1.0,29,40.704654
1.0,25,40.774311
1.0,26,41.132203
1.0,42,41.247853
1.0,21,41.306203
1.0,26,41.378336
1.0,26,41.45026
1.0,23,41.514056
1.0,29,41.5939
1.0,23,41.65774
1.0,24,41.724144
1.0,22,41.785325
1.0,24,41.851879
1.0,27,41.926426
1.0,27,42.000424
1.0,26,42.072232
1.0,22,42.133329
1.0,24,42.199788
1.0,25,42.275413
1.0,24,42.341973
1.0,29,42.422338
1.0,23,42.486144
