#{"t_start": 1765565939.2850835, "env_id": "None"}
r,l,t
0.0,576,1.898827
0.0,576,3.77213
0.0,576,5.661759
0.0,576,7.556947
0.0,576,9.453593
0.0,576,11.338757
0.0,576,13.231243
0.0,576,15.124116
0.0,576,17.326254
0.0,576,19.222764
0.0,576,21.118485
0.440625,358,22.391724
0.35,416,23.531961
0.690625,198,24.353662
0.6875,200,24.903937
0.101562,575,26.75894
0.34375,420,28.192913
0.725,176,28.67696
0.807813,123,29.293684
0.926562,47,29.421729
0.714063,183,29.925877
0.83125,108,30.220726
0.296875,450,31.735502
0.873437,81,31.95757
0.745313,163,32.690742
0.840625,102,32.970896
0.9,64,33.146517
0.696875,194,33.677598
0.840625,102,34.242679
0.45625,348,35.199296
0.84375,100,35.470854
0.91875,52,35.895868
0.845313,99,36.165517
0.871875,82,36.391782
0.789062,135,36.760808
0.91875,52,36.902736
0.801562,127,37.555032
0.901563,63,37.730417
0.935937,41,37.842502
0.901563,63,38.014088
0.921875,50,38.150666
0.948438,33,38.241394
0.926562,47,38.369767
0.923438,49,38.502758
0.910937,57,38.658565
0.665625,214,39.528126
0.923438,49,39.662209
0.89375,68,39.847991
0.9,64,40.021643
0.851562,95,40.285291
0.932813,43,40.402766
0.914062,55,40.554017
0.946875,34,40.929119
0.93125,44,41.049453
0.94375,36,41.146938
0.940625,38,41.250571
0.892188,69,41.439332
0.929688,45,41.568562
0.928125,46,41.694302
0.901563,63,41.866187
0.817187,117,42.186817
