#{"t_start": 1765569164.70055, "env_id": "None"}
r,l,t
0.0,576,1.916386
0.0,576,3.819496
0.0,576,5.725796
0.0,576,7.635883
0.0,576,9.539533
0.0,576,11.446955
0.0,576,13.348017
0.0,576,15.25674
0.0,576,17.475361
0.0,576,19.356665
0.0,576,21.239629
0.0,576,23.145959
1.0,321,24.342756
1.0,347,25.300446
0.0,576,27.197181
1.0,474,28.81255
1.0,140,29.514662
1.0,168,29.973435
1.0,141,30.359692
1.0,281,31.445261
1.0,152,31.861142
1.0,118,32.189604
1.0,102,32.783491
1.0,46,32.90952
1.0,192,33.439763
1.0,78,33.652917
1.0,61,33.819319
1.0,46,33.944906
1.0,176,34.74896
1.0,108,35.044187
1.0,105,35.332034
1.0,100,35.605335
1.0,116,36.244487
1.0,157,36.672847
1.0,142,37.060745
1.0,52,37.207908
1.0,107,37.500159
1.0,170,38.282886
1.0,42,38.397266
1.0,122,38.737263
1.0,36,38.836452
1.0,52,38.978485
1.0,58,39.137973
1.0,52,39.280667
1.0,39,39.702901
1.0,60,39.871795
1.0,32,39.95916
1.0,125,40.300811
1.0,50,40.436598
1.0,38,40.541652
1.0,58,40.700572
1.0,39,40.807133
1.0,73,41.007837
1.0,37,41.430117
1.0,36,41.528684
1.0,31,41.612775
1.0,45,41.735338
1.0,33,41.825348
1.0,128,42.174491
1.0,47,42.307079
1.0,53,42.452186
1.0,26,42.52337
1.0,81,42.745963
