#{"t_start": 1765569164.700914, "env_id": "None"}
r,l,t
0.0,576,1.918297
0.0,576,3.820682
0.0,576,5.726977
0.0,576,7.637093
0.0,576,9.540707
0.0,576,11.448204
0.0,576,13.349276
0.0,576,15.257966
0.0,576,17.476622
1.0,456,19.022864
0.0,576,20.911057
1.0,450,22.466133
1.0,530,24.242278
1.0,238,24.901051
1.0,470,26.503283
1.0,333,27.733678
1.0,243,28.402842
1.0,194,28.934199
1.0,185,29.759346
1.0,392,31.149457
1.0,326,32.044483
1.0,87,32.282917
1.0,109,32.896221
1.0,235,33.544444
1.0,47,33.673057
1.0,61,33.839338
1.0,73,34.039472
1.0,179,34.850784
1.0,46,34.9767
1.0,133,35.341241
1.0,81,35.562314
1.0,76,35.770876
1.0,84,36.322495
1.0,129,36.674028
1.0,51,36.812374
1.0,88,37.052614
1.0,88,37.299227
1.0,73,37.497589
1.0,87,38.053349
1.0,62,38.223557
1.0,67,38.406463
1.0,37,38.513414
1.0,43,38.631968
1.0,72,38.828429
1.0,84,39.058344
1.0,55,39.210085
1.0,148,39.935131
1.0,65,40.112247
1.0,32,40.200625
1.0,61,40.366569
1.0,36,40.464708
1.0,25,40.53372
1.0,57,40.690044
1.0,89,40.933531
1.0,34,41.032894
1.0,47,41.477481
1.0,27,41.551186
1.0,41,41.66328
1.0,33,41.752496
1.0,44,41.873208
1.0,61,42.038939
1.0,45,42.160964
1.0,29,42.240579
1.0,124,42.584381
1.0,30,42.667352
1.0,31,42.752651
