#{"t_start": 1765590400.2517228, "env_id": "None"}
r,l,t
0.0,1936,28.354073
0.0,1936,57.979727
0.0,1936,86.759296
0.0,1936,116.302482
0.0,1936,144.964678
0.0,1936,174.362023
0.0,1936,203.343836
0.0,1936,233.019681
0.0,1936,262.649709
