iteration,extrinsic_reward,intrinsic_reward
0,0.0,1.7887463569641113
1,0.0,0.8455452919006348
2,0.0,0.47995084524154663
3,0.04843750170298985,0.2866724729537964
4,0.033906251192092896,0.19159571826457977
5,0.05128906369209289,0.16772757470607758
6,0.0173828125,0.13564208149909973
7,0.0294921875,0.13415414094924927
8,0.012109375,0.10171446204185486
9,0.0653515636920929,0.1064683347940445
10,0.0653515636920929,0.08766057342290878
11,0.05324218869209289,0.08907198905944824
12,0.0,0.07652480900287628
13,0.018085937201976775,0.07836759090423584
14,0.041796875,0.08390142768621445
15,0.041796875,0.07915182411670685
16,0.06710937470197678,0.08693799376487732
17,0.09011718779802322,0.0704420655965805
18,0.09011718779802322,0.059383731335401535
19,0.09011718779802322,0.05991218984127045
20,0.013164062798023225,0.055130716413259506
21,0.030039063096046446,0.0566958487033844
22,0.030039063096046446,0.06406572461128235
23,0.030039063096046446,0.06052137538790703
24,0.0,0.05707385763525963
25,0.026171875,0.05282200500369072
26,0.026171875,0.04559600353240967
27,0.026171875,0.044993869960308075
28,0.026171875,0.044049493968486786
29,0.147773440182209,0.0408761203289032
30,0.1728906288743019,0.029909420758485794
31,0.20398437827825547,0.044396549463272095
32,0.19519531577825547,0.04365084692835808
33,0.1173828125,0.0433342382311821
34,0.1173828125,0.04108040779829025
35,0.047265625,0.033306486904621124
36,0.1068359375,0.030446290969848633
37,0.1068359375,0.02961534820497036
38,0.0595703125,0.033943645656108856
39,0.0,0.04017888754606247
40,0.0,0.03625901788473129
41,0.02652343809604645,0.030542869120836258
42,0.10980468690395355,0.033080652356147766
43,0.0832812488079071,0.028032101690769196
44,0.185546875,0.03619502857327461
45,0.2189453125,0.03506461903452873
46,0.1857421875,0.030314993113279343
47,0.1646484375,0.03065507486462593
48,0.04496093690395355,0.02642636001110077
49,0.04496093690395355,0.026584073901176453
50,0.16394531428813935,0.031765617430210114
51,0.19644531309604646,0.03182385116815567
52,0.1110546886920929,0.020869404077529907
53,0.1713281214237213,0.023504208773374557
54,0.23265624642372132,0.018959302455186844
55,0.3602343678474426,0.023792071267962456
56,0.38796874433755874,0.024413932114839554
57,0.6178515672683715,0.02680918201804161
58,0.5644531309604645,0.02229534648358822
59,0.47269531786441804,0.02171943336725235
60,0.5099609404802322,0.01885809749364853
61,0.6196093685925007,0.02076311782002449
62,0.6087500035762787,0.01912073604762554
63,0.7419531226158143,0.01802883669734001
64,0.7089062452316284,0.0187637060880661
65,0.6215624928474426,0.013429409824311733
66,0.6085546813905239,0.01352871023118496
67,0.6141796790063381,0.01149399857968092
68,0.625078122317791,0.010638642124831676
69,0.49785156548023224,0.011001048609614372
70,0.6816796876490117,0.009651772677898407
71,0.6542578145861626,0.007073248736560345
72,0.5178515642881394,0.011245904490351677
73,0.5649609327316284,0.010064832866191864
