#{"t_start": 1765568735.8434317, "env_id": "None"}
r,l,t
0.0,576,7.922029
0.0,576,15.783882
0.0,576,23.64979
1.0,241,25.843277
1.0,238,30.615068
0.0,576,38.450037
1.0,133,39.660794
1.0,150,41.025542
1.0,156,45.033432
1.0,88,45.838894
1.0,55,46.337689
1.0,70,46.9768
1.0,79,47.691897
1.0,102,51.217785
1.0,62,51.777514
1.0,145,53.096412
1.0,161,54.556975
1.0,144,58.441088
1.0,88,59.238654
1.0,59,59.772188
1.0,59,60.31279
1.0,75,60.988846
1.0,68,61.605688
1.0,51,62.066942
1.0,91,65.466658
1.0,93,66.308694
1.0,129,67.486721
1.0,62,68.052493
1.0,65,68.642373
1.0,74,69.318001
1.0,80,72.628967
1.0,41,73.007993
1.0,41,73.380967
1.0,58,73.90845
1.0,39,74.267785
1.0,65,74.858115
1.0,51,75.326323
1.0,122,76.43972
1.0,104,79.983743
1.0,108,80.971671
1.0,53,81.45506
1.0,54,81.949451
1.0,44,82.351423
1.0,69,82.978071
1.0,123,84.104848
1.0,39,84.479606
1.0,26,87.302442
1.0,39,87.662854
1.0,35,87.982327
1.0,48,88.419609
1.0,32,88.710676
1.0,47,89.145117
1.0,34,89.455925
1.0,32,89.748189
1.0,30,90.021554
1.0,30,90.30051
1.0,37,90.637879
1.0,36,90.966421
1.0,49,91.417613
