#{"t_start": 1765568735.8424463, "env_id": "None"}
r,l,t
0.0,576,7.917349
1.0,389,11.472093
0.0,576,21.93511
1.0,497,26.475374
1.0,262,31.461421
1.0,292,36.710529
1.0,207,38.593502
1.0,174,40.180274
1.0,129,43.942671
1.0,158,45.383706
1.0,186,47.074243
1.0,145,50.983211
1.0,114,52.020545
1.0,135,53.247526
1.0,134,54.464076
1.0,48,54.904693
1.0,64,55.482592
1.0,41,58.429594
1.0,50,58.884383
1.0,74,59.551221
1.0,85,60.329127
1.0,56,60.832236
1.0,69,61.459223
1.0,53,61.938563
1.0,101,65.427693
1.0,72,66.079611
1.0,82,66.829455
1.0,70,67.466399
1.0,62,68.032104
1.0,77,68.73122
1.0,40,69.098781
1.0,73,69.759671
1.0,122,73.461938
1.0,96,74.338325
1.0,127,75.498173
1.0,67,76.109338
1.0,58,76.642367
1.0,85,80.009601
1.0,62,80.578087
1.0,47,81.006171
1.0,99,81.911371
1.0,34,82.219965
1.0,43,82.611452
1.0,64,83.201081
1.0,53,83.683879
1.0,44,84.08385
1.0,48,84.546658
1.0,44,87.531543
1.0,34,87.8434
1.0,33,88.143237
1.0,56,88.653545
1.0,36,88.988384
1.0,43,89.379992
1.0,38,89.726325
1.0,35,90.046932
1.0,31,90.335393
1.0,56,90.844001
1.0,42,91.227479
1.0,36,91.560339
