#{"t_start": 1765568735.8435886, "env_id": "None"}
r,l,t
0.0,576,7.922873
1.0,373,11.329864
0.0,576,19.199336
1.0,234,23.931187
1.0,560,31.635164
1.0,301,36.966639
1.0,161,38.431695
1.0,137,39.679708
1.0,224,44.311344
1.0,150,45.675895
1.0,106,46.640693
1.0,119,47.719646
1.0,95,51.180653
1.0,53,51.660657
1.0,80,52.390969
1.0,57,52.905917
1.0,125,54.042545
1.0,68,54.656922
1.0,87,55.448172
1.0,117,59.085795
1.0,83,59.835121
1.0,57,60.359687
1.0,71,60.998667
1.0,101,61.913209
1.0,118,65.557533
1.0,50,66.009898
1.0,85,66.78602
1.0,38,67.130929
1.0,98,68.025033
1.0,185,69.707108
1.0,44,72.693763
1.0,67,73.307996
1.0,37,73.645212
1.0,57,74.168353
1.0,79,74.885762
1.0,124,76.020223
1.0,103,76.965623
1.0,76,80.24809
1.0,42,80.635075
1.0,36,80.962644
1.0,47,81.391873
1.0,35,81.710109
1.0,39,82.068272
1.0,36,82.397002
1.0,54,82.887207
1.0,45,83.303364
1.0,33,83.60335
1.0,38,83.949927
1.0,41,84.332628
1.0,63,87.502561
1.0,36,87.836411
1.0,35,88.155036
1.0,34,88.464973
1.0,52,88.945113
1.0,36,89.2732
1.0,36,89.602198
1.0,39,89.957903
1.0,39,90.319323
1.0,36,90.648194
1.0,43,91.039357
1.0,86,91.82734
