#{"t_start": 1765568735.8429475, "env_id": "None"}
r,l,t
0.0,576,7.91941
0.0,576,15.781799
1.0,308,18.605325
1.0,479,25.569733
1.0,521,32.916121
1.0,78,33.623808
1.0,118,37.292231
1.0,490,44.347105
1.0,76,45.031871
1.0,41,45.41201
1.0,143,46.711602
1.0,87,47.500928
1.0,72,48.159206
1.0,95,51.613993
1.0,84,52.380015
1.0,75,53.058625
1.0,62,53.62387
1.0,90,54.437094
1.0,154,58.41222
1.0,73,59.075077
1.0,65,59.661469
1.0,53,60.149846
1.0,52,60.617134
1.0,77,61.315293
1.0,73,61.975691
1.0,74,62.646743
1.0,147,66.55689
1.0,57,67.075245
1.0,96,67.950951
1.0,97,68.832206
1.0,43,69.226462
1.0,101,72.729202
1.0,100,73.643308
1.0,105,74.60217
1.0,82,75.35433
1.0,51,75.818413
1.0,38,76.165087
1.0,76,76.862822
1.0,61,80.011116
1.0,34,80.319548
1.0,94,81.179578
1.0,77,81.88514
1.0,44,82.285103
1.0,37,82.622444
1.0,44,83.027549
1.0,55,83.529754
1.0,30,83.803423
1.0,81,84.56791
1.0,43,87.542867
1.0,31,87.825575
1.0,33,88.125421
1.0,46,88.545435
1.0,47,88.97997
1.0,90,89.801602
1.0,33,90.107267
1.0,41,90.481467
1.0,45,90.890723
1.0,29,91.155543
1.0,43,91.55186
