#{"t_start": 1765568735.8437605, "env_id": "None"}
r,l,t
0.0,576,7.923723
1.0,426,11.811691
0.0,576,22.279959
1.0,111,23.290784
1.0,249,25.561856
1.0,306,30.951049
1.0,186,32.6452
1.0,220,37.239369
1.0,86,38.023107
1.0,238,40.19318
1.0,103,43.716908
1.0,176,45.322572
1.0,73,45.985235
1.0,137,47.23105
1.0,136,51.063666
1.0,77,51.760018
1.0,34,52.068361
1.0,102,52.996044
1.0,82,53.74451
1.0,81,54.47623
1.0,115,55.521956
1.0,95,58.959113
1.0,84,59.718464
1.0,58,60.250974
1.0,50,60.701348
1.0,60,61.242233
1.0,53,61.723779
1.0,73,62.381642
1.0,127,66.109897
1.0,48,66.549089
1.0,75,67.233144
1.0,97,68.116535
1.0,162,69.590726
1.0,54,72.666699
1.0,49,73.117722
1.0,184,74.7938
1.0,44,75.195074
1.0,58,75.72964
1.0,74,76.403798
1.0,55,76.911457
1.0,49,79.946911
1.0,54,80.44172
1.0,59,80.98172
1.0,35,81.300142
1.0,46,81.721645
1.0,53,82.204388
1.0,44,82.604735
1.0,46,83.029807
1.0,39,83.386299
1.0,64,83.969226
1.0,43,84.372152
1.0,40,87.330262
1.0,49,87.781269
1.0,39,88.136586
1.0,42,88.519951
1.0,32,88.816471
1.0,37,89.155089
1.0,32,89.447222
1.0,33,89.749373
1.0,41,90.127298
1.0,49,90.573893
1.0,35,90.892926
1.0,29,91.157758
1.0,37,91.499241
1.0,36,91.828188
