#{"t_start": 1765568735.8419533, "env_id": "None"}
r,l,t
0.0,576,7.91474
1.0,318,10.818935
1.0,403,17.109122
1.0,395,23.314369
1.0,369,29.280175
1.0,172,30.847699
1.0,345,36.582873
1.0,159,38.028956
1.0,122,39.141979
1.0,107,40.114424
1.0,118,43.776854
1.0,215,45.736225
1.0,117,46.800225
1.0,154,48.202484
1.0,77,51.493588
1.0,77,52.191138
1.0,54,52.685602
1.0,94,53.534219
1.0,110,54.535429
1.0,154,58.511428
1.0,52,58.982999
1.0,67,59.586962
1.0,49,60.039267
1.0,65,60.624443
1.0,80,61.349653
1.0,56,61.855752
1.0,50,62.306643
1.0,56,65.390265
1.0,92,66.22467
1.0,66,66.827922
1.0,95,67.694983
1.0,61,68.248815
1.0,39,68.602868
1.0,71,69.251671
1.0,51,69.713085
1.0,85,73.077756
1.0,72,73.733308
1.0,69,74.36525
1.0,54,74.854547
1.0,176,76.464118
1.0,47,76.897795
1.0,54,79.980046
1.0,50,80.436474
1.0,65,81.032443
1.0,41,81.406872
1.0,43,81.801475
1.0,48,82.237776
1.0,80,82.965109
1.0,37,83.309381
1.0,39,83.664206
1.0,52,84.138093
1.0,49,87.189952
1.0,45,87.604836
1.0,41,87.978258
1.0,35,88.296948
1.0,40,88.661987
1.0,38,89.014604
1.0,54,89.50874
1.0,33,89.809517
1.0,43,90.206115
1.0,76,90.898582
1.0,38,91.244626
1.0,43,91.641777
