#{"t_start": 1765568735.8431115, "env_id": "None"}
r,l,t
0.0,576,7.920287
0.0,576,15.782652
1.0,229,17.878563
1.0,570,25.679547
0.0,576,33.524745
1.0,132,37.320066
1.0,539,44.816445
1.0,139,46.083315
1.0,89,46.894005
1.0,106,47.86119
1.0,84,51.216613
1.0,118,52.283615
1.0,86,53.068359
1.0,67,53.679527
1.0,109,54.665376
1.0,76,55.357193
1.0,59,58.468549
1.0,95,59.328698
1.0,85,60.104205
1.0,64,60.681684
1.0,78,61.388148
1.0,68,62.003103
1.0,45,62.407895
1.0,104,65.927602
1.0,86,66.712045
1.0,77,67.412822
1.0,55,67.915236
1.0,179,69.543723
1.0,131,73.325593
1.0,255,75.655159
1.0,94,76.511643
1.0,76,77.209223
1.0,49,80.246543
1.0,50,80.706618
1.0,72,81.362823
1.0,37,81.699205
1.0,30,81.97601
1.0,40,82.340375
1.0,52,82.813527
1.0,41,83.193008
1.0,56,83.703358
1.0,42,84.085683
1.0,54,87.182769
1.0,35,87.501031
1.0,57,88.026751
1.0,89,88.844193
1.0,31,89.126264
1.0,34,89.436469
1.0,53,89.920203
1.0,34,90.23623
1.0,41,90.609306
1.0,33,90.910296
1.0,34,91.219452
1.0,31,91.507301
1.0,32,91.799146
