#{"t_start": 1765568735.8417761, "env_id": "None"}
r,l,t
1.0,571,7.867816
0.0,576,15.730551
1.0,409,22.070831
1.0,505,29.279299
0.0,576,37.11696
1.0,337,40.188525
1.0,347,45.935407
1.0,212,47.868137
1.0,88,51.259512
1.0,79,51.973963
1.0,56,52.487488
1.0,84,53.245657
1.0,64,53.830448
1.0,70,54.462219
1.0,155,58.447252
1.0,90,59.262752
1.0,53,59.741401
1.0,82,60.490373
1.0,61,61.039715
1.0,96,61.90898
1.0,80,62.634434
1.0,93,66.051001
1.0,56,66.563971
1.0,98,67.455574
1.0,228,69.531641
1.0,78,72.831513
1.0,69,73.460089
1.0,49,73.904477
1.0,48,74.346416
1.0,60,74.891464
1.0,90,75.715844
1.0,147,77.060212
1.0,57,80.171213
1.0,42,80.558503
1.0,35,80.876672
1.0,40,81.241232
1.0,69,81.873373
1.0,52,82.347094
1.0,49,82.792354
1.0,40,83.16146
1.0,39,83.51791
1.0,46,83.936429
1.0,38,84.285257
1.0,40,87.253104
1.0,43,87.65002
1.0,32,87.941753
1.0,29,88.20647
1.0,52,88.68004
1.0,47,89.114201
1.0,31,89.397353
1.0,41,89.772274
1.0,44,90.178435
1.0,51,90.643893
1.0,40,91.00841
1.0,40,91.377417
1.0,39,91.73364
