#{"t_start": 1765568735.841583, "env_id": "None"}
r,l,t
1.0,408,3.781078
0.0,576,11.642954
1.0,328,17.246303
0.0,576,25.102741
1.0,473,32.012081
1.0,114,33.049587
1.0,194,37.408418
1.0,155,38.819966
1.0,304,44.17957
1.0,63,44.749295
1.0,129,45.925529
1.0,266,50.935703
1.0,93,51.783216
1.0,69,52.414377
1.0,68,53.028027
1.0,73,53.694958
1.0,128,54.852885
1.0,98,58.319589
1.0,80,59.044796
1.0,92,59.876565
1.0,88,60.678177
1.0,48,61.110681
1.0,79,61.827831
1.0,78,62.53402
1.0,85,65.878848
1.0,126,67.02722
1.0,126,68.175548
1.0,46,68.592691
1.0,278,73.713702
1.0,35,74.032546
1.0,131,75.227679
1.0,37,75.569741
1.0,58,76.098014
1.0,84,76.869821
1.0,60,80.00738
1.0,29,80.271615
1.0,57,80.79459
1.0,58,81.323239
1.0,86,82.10993
1.0,56,82.619281
1.0,71,83.271507
1.0,41,83.644628
1.0,40,84.010067
1.0,39,84.3775
1.0,32,87.262303
1.0,33,87.568326
1.0,34,87.878252
1.0,50,88.332949
1.0,50,88.789519
1.0,35,89.113385
1.0,26,89.351171
1.0,32,89.643565
1.0,45,90.054647
1.0,34,90.369989
1.0,41,90.74323
1.0,44,91.143451
1.0,60,91.696065
