#{"t_start": 1765568735.8422818, "env_id": "None"}
r,l,t
0.0,576,7.91649
0.0,576,15.779456
1.0,569,23.582891
1.0,152,24.968266
1.0,389,31.110731
1.0,103,32.049999
1.0,145,33.368943
1.0,127,37.118514
1.0,106,38.084038
1.0,193,39.83983
1.0,96,40.714887
1.0,84,44.072201
1.0,134,45.291738
1.0,231,47.390644
1.0,163,51.466783
1.0,126,52.614276
1.0,74,53.283338
1.0,67,53.895612
1.0,79,54.608588
1.0,93,55.455012
1.0,123,59.145425
1.0,46,59.560359
1.0,64,60.14804
1.0,81,60.877007
1.0,67,61.486742
1.0,101,62.396813
1.0,56,65.482705
1.0,72,66.134638
1.0,158,67.574
1.0,118,68.649391
1.0,56,69.162132
1.0,78,69.868005
1.0,131,73.651885
1.0,96,74.528495
1.0,79,75.247381
1.0,65,75.844584
1.0,52,76.318694
1.0,67,76.935645
1.0,62,80.090324
1.0,54,80.587217
1.0,32,80.878217
1.0,38,81.223792
1.0,46,81.642785
1.0,39,82.002081
1.0,41,82.37614
1.0,43,82.76629
1.0,39,83.126066
1.0,37,83.464582
1.0,29,83.729419
1.0,75,84.428828
1.0,41,87.390219
1.0,35,87.715402
1.0,42,88.096591
1.0,28,88.352746
1.0,50,88.81286
1.0,53,89.298019
1.0,49,89.744855
1.0,43,90.1427
1.0,32,90.43513
1.0,53,90.917985
1.0,41,91.292058
1.0,47,91.725101
