#{"t_start": 1765568735.8427892, "env_id": "None"}
r,l,t
0.0,576,7.918546
0.0,576,15.780957
1.0,513,23.069365
1.0,541,30.604108
1.0,255,32.925282
1.0,248,37.776847
1.0,148,39.125074
1.0,107,40.093751
1.0,82,40.843364
1.0,208,45.330075
1.0,124,46.453628
1.0,201,48.285851
1.0,75,51.55864
1.0,59,52.093396
1.0,103,53.030906
1.0,68,53.65151
1.0,108,54.627828
1.0,65,55.221417
1.0,84,58.558243
1.0,89,59.365005
1.0,95,60.230556
1.0,80,60.950807
1.0,79,61.667766
1.0,48,62.101484
1.0,168,66.199223
1.0,79,66.920483
1.0,49,67.366379
1.0,80,68.096118
1.0,150,69.46087
1.0,49,69.90582
1.0,93,73.343355
1.0,42,73.725524
1.0,79,74.448511
1.0,41,74.81997
1.0,43,75.21145
1.0,98,76.110509
1.0,86,76.899976
1.0,73,80.154869
1.0,42,80.541816
1.0,43,80.933982
1.0,87,81.730646
1.0,68,82.349586
1.0,39,82.702945
1.0,52,83.182268
1.0,53,83.66637
1.0,33,83.966648
1.0,49,84.430457
1.0,46,87.436935
1.0,59,87.980478
1.0,44,88.381538
1.0,50,88.843002
1.0,40,89.208035
1.0,30,89.482767
1.0,36,89.811683
1.0,48,90.253815
1.0,36,90.581264
1.0,39,90.9375
1.0,37,91.273906
1.0,38,91.625126
