iteration,extrinsic_reward,intrinsic_reward
0,0.29871428864342825,2.156921863555908
1,0.19660000056028365,0.7211161851882935
2,0.3037000000476837,0.3936328887939453
3,0.08660000264644623,0.233296200633049
4,0.28759999573230743,0.15393923223018646
5,0.1614999994635582,0.11423101276159286
6,0.229899999499321,0.0895804762840271
7,0.08940000087022781,0.0650428757071495
8,0.2606000050902367,0.054077498614788055
9,0.14179999828338624,0.04644608125090599
10,0.4092999964952469,0.041686590760946274
11,0.13180000185966492,0.037315502762794495
12,0.42020000219345094,0.0330575630068779
13,0.36429999247193334,0.025921981781721115
14,0.2804000020027161,0.020975187420845032
15,0.4858999937772751,0.022842660546302795
16,0.42630000710487365,0.01908612996339798
17,0.4074999988079071,0.016347229480743408
18,0.5147000014781952,0.015380941331386566
19,0.5373000003397465,0.014309654943645
20,0.37240000516176225,0.011463835835456848
21,0.5767000019550323,0.013138006441295147
22,0.6822000026702881,0.011014699004590511
23,0.7192000061273575,0.009568360634148121
24,0.7281000018119812,0.008599750697612762
25,0.5535000011324882,0.007134214974939823
26,0.7316999971866608,0.006407024338841438
27,0.6228999957442284,0.009000714868307114
28,0.37420000433921813,0.005276580341160297
29,0.5921000063419342,0.006783878430724144
30,0.38939999639987943,0.0046457587741315365
31,0.4894000023603439,0.0055017187260091305
32,0.2712999925017357,0.004147837869822979
33,0.3282000064849854,0.004695059731602669
34,0.34080000072717664,0.003113011596724391
35,0.15779999792575836,0.008400017395615578
36,0.3436000019311905,0.009171608835458755
37,0.31910000145435335,0.004634401760995388
38,0.30030000358819964,0.005063410848379135
39,0.21459999978542327,0.005065227393060923
40,0.3976000025868416,0.006789295934140682
41,0.2119999945163727,0.0031572282314300537
42,0.5479000091552735,0.00531181413680315
43,0.32460000067949296,0.003212809097021818
44,0.5309999912977219,0.0042016408406198025
45,0.35250000059604647,0.004871506709605455
46,0.4956999957561493,0.0028084421064704657
47,0.22909999564290046,0.0022463114000856876
48,0.22000000178813933,0.0020922855474054813
49,0.38390001058578493,0.001580858021043241
