#{"t_start": 1765565358.3305702, "env_id": "None"}
r,l,t
0.0,576,4.186321
0.0,576,6.819432
0.0,576,9.415207
0.646875,226,10.054619
0.325,432,11.975908
0.576562,271,13.397408
0.498437,321,14.277087
0.515625,310,15.779054
0.645312,227,16.402238
0.595312,259,17.763376
0.6125,248,18.445569
0.785937,137,19.463218
0.648438,225,20.083264
0.390625,390,21.796689
0.8,128,22.147954
0.704687,189,22.668419
0.579687,269,24.053006
0.692187,197,24.592292
0.671875,210,25.815588
0.90625,60,25.979085
0.823438,113,26.292245
0.6,256,27.640449
0.878125,78,27.852798
0.854688,93,28.106563
0.803125,126,28.449969
0.90625,60,28.617597
0.896875,66,28.797367
0.839063,103,29.724849
0.839063,103,30.011397
0.803125,126,30.35658
0.840625,102,30.63429
0.890625,70,30.824726
0.865625,86,31.714609
0.896875,66,31.895322
0.895312,67,32.078806
0.89375,68,32.263677
0.884375,74,32.469726
0.896875,66,32.648833
0.896875,66,32.828893
0.892188,69,33.667873
0.896875,66,33.854222
0.854688,93,34.107992
0.835938,105,34.393377
0.84375,100,34.66837
0.923438,49,34.802843
0.896875,66,34.987016
0.9375,40,35.74532
0.946875,34,35.838527
0.925,48,35.969447
0.88125,76,36.178329
0.9375,40,36.29244
0.91875,52,36.434611
0.920312,51,36.573389
0.921875,50,36.709197
0.904687,61,36.875075
0.926562,47,37.002595
0.934375,42,37.772314
0.898438,65,37.949531
0.917188,53,38.09433
0.917188,53,38.238043
0.929688,45,38.361479
0.907813,59,38.52175
0.8875,72,38.718947
0.920312,51,38.863516
0.926562,47,38.991248
0.8875,72,39.836803
0.929688,45,39.959464
0.904687,61,40.130451
0.925,48,40.262367
0.9375,40,40.371585
0.915625,54,40.518226
0.895312,67,40.700104
0.95,32,40.787543
0.948438,33,40.878134
0.909375,58,41.035581
0.920312,51,41.175018
0.9375,40,41.931203
0.925,48,42.062501
0.940625,38,42.166466
0.925,48,42.297511
0.953125,30,42.380126
0.948438,33,42.470947
0.945312,35,42.566885
0.942187,37,42.670608
0.932813,43,42.788743
0.946875,34,42.881993
0.934375,42,42.99632
0.935937,41,43.108449
0.946875,34,43.20092
0.93125,44,43.971737
0.934375,42,44.086164
0.95625,28,44.163386
0.945312,35,44.258844
0.945312,35,44.35446
0.8875,72,44.550767
0.9375,40,44.660051
0.934375,42,44.775093
0.945312,35,44.871168
0.940625,38,44.975266
0.948438,33,45.065283
0.95625,28,45.14168
0.939063,39,45.252568
0.948438,33,45.991099
0.932813,43,46.108683
0.948438,33,46.198629
0.95,32,46.286534
0.890625,70,46.478498
0.957812,27,46.557467
0.939063,39,46.664248
0.920312,51,46.803557
0.9375,40,46.913418
0.932813,43,47.03112
0.954688,29,47.111029
0.935937,41,47.223091
0.932813,43,47.340624
0.939063,39,48.102059
0.939063,39,48.210781
0.9375,40,48.334279
0.957812,27,48.410473
0.940625,38,48.525506
0.929688,45,48.65089
0.95,32,48.738937
0.948438,33,48.829777
0.953125,30,48.912337
0.925,48,49.043786
0.935937,41,49.156572
0.940625,38,49.260616
0.960938,25,49.329586
0.948438,33,49.424325
0.920312,51,50.220529
0.957812,27,50.29451
0.95,32,50.382248
0.954688,29,50.461399
0.923438,49,50.596731
0.951562,31,50.682073
0.932813,43,50.799941
0.951562,31,50.885339
0.935937,41,50.99776
0.954688,29,51.080911
0.948438,33,51.171353
0.946875,34,51.264547
0.953125,30,51.34697
0.9625,24,51.413564
0.959375,26,51.484174
0.942187,37,52.234531
0.960938,25,52.303666
0.954688,29,52.388157
0.960938,25,52.457266
0.953125,30,52.539312
0.942187,37,52.641109
0.951562,31,52.726356
0.954688,29,52.806206
0.954688,29,52.886155
0.932813,43,53.003638
0.948438,33,53.094875
0.95,32,53.182952
0.920312,51,53.322694
0.953125,30,53.404687
0.942187,37,53.506284
