#{"t_start": 1765565358.3300056, "env_id": "None"}
r,l,t
0.0,576,4.18471
0.504687,317,5.177729
0.3875,392,7.21099
0.5125,312,9.028997
0.0,576,11.338632
0.626562,239,12.049901
0.576562,271,13.467424
0.454688,349,14.423606
0.654687,221,15.682509
0.1125,568,17.891333
0.303125,446,19.762846
0.834375,106,20.052548
0.590625,262,21.41708
0.86875,84,21.646527
0.609375,250,22.335804
0.85625,92,22.586593
0.634375,234,23.874004
0.760938,153,24.293959
0.51875,308,25.784747
0.81875,116,26.106061
0.782813,139,26.48445
0.665625,214,27.719087
0.820312,115,28.03149
0.903125,62,28.201278
0.823438,113,28.509755
0.890625,70,28.704555
0.826562,111,29.652817
0.810937,121,29.988323
0.835938,105,30.276824
0.782813,139,30.65598
0.8,128,31.659615
0.809375,122,31.993787
0.892188,69,32.181589
0.873437,81,32.403731
0.9,64,32.580928
0.903125,62,32.748973
0.828125,110,33.706119
0.925,48,33.836437
0.817187,117,34.156417
0.854688,93,34.409899
0.91875,52,34.552793
0.873437,81,34.774422
0.857812,91,35.027967
0.89375,68,35.862744
0.921875,50,35.999192
0.898438,65,36.176886
0.934375,42,36.297852
0.882812,75,36.501804
0.91875,52,36.643442
0.907813,59,36.803591
0.885938,73,37.001641
0.93125,44,37.777974
0.9125,56,37.929718
0.892188,69,38.118886
0.778125,142,38.504814
0.89375,68,38.690281
0.926562,47,38.824174
0.878125,78,39.036727
0.914062,55,39.835801
0.921875,50,39.972889
0.9375,40,40.082639
0.934375,42,40.201533
0.907813,59,40.362573
0.925,48,40.493173
0.935937,41,40.604815
0.934375,42,40.718912
0.942187,37,40.820436
0.926562,47,40.947953
0.917188,53,41.092591
0.915625,54,41.886891
0.926562,47,42.015649
0.845313,99,42.285851
0.95,32,42.373747
0.95625,28,42.450805
0.934375,42,42.565926
0.910937,57,42.725473
0.910937,57,42.881045
0.95625,28,42.957478
0.925,48,43.088751
0.934375,42,43.203664
0.954688,29,43.927825
0.95,32,44.020266
0.93125,44,44.140531
0.934375,42,44.255191
0.940625,38,44.359907
0.935937,41,44.471209
0.945312,35,44.566815
0.932813,43,44.684137
0.9375,40,44.793832
0.914062,55,44.944445
0.935937,41,45.05634
0.95,32,45.144402
0.954688,29,45.22681
0.957812,27,45.301355
0.9375,40,46.058842
0.926562,47,46.186992
0.951562,31,46.272301
0.907813,59,46.434118
0.940625,38,46.542922
0.95,32,46.630963
0.945312,35,46.726622
0.954688,29,46.806282
0.934375,42,46.921565
0.917188,53,47.06596
0.928125,46,47.191783
0.942187,37,47.293092
0.942187,37,48.04721
0.959375,26,48.121803
0.946875,34,48.216242
0.940625,38,48.333273
0.95625,28,48.413269
0.95625,28,48.495436
0.951562,31,48.58586
0.954688,29,48.667113
0.935937,41,48.779909
0.946875,34,48.873258
0.951562,31,48.958499
0.95,32,49.046539
0.951562,31,49.131427
0.939063,39,49.238266
0.91875,52,49.382761
0.9625,24,49.452827
0.946875,34,50.200357
0.951562,31,50.28549
0.946875,34,50.378654
0.940625,38,50.483423
0.959375,26,50.555076
0.951562,31,50.640256
0.95,32,50.728394
0.9625,24,50.79359
0.951562,31,50.87902
0.942187,37,50.980618
0.946875,34,51.07727
0.935937,41,51.190151
0.946875,34,51.283793
0.95625,28,51.360431
0.945312,35,51.456565
0.928125,46,52.230884
0.945312,35,52.332781
0.95625,28,52.410221
0.948438,33,52.500749
0.946875,34,52.593971
0.953125,30,52.676553
0.946875,34,52.769772
0.946875,34,52.863796
0.934375,42,52.978435
0.960938,25,53.047691
0.940625,38,53.152022
0.934375,42,53.267345
0.959375,26,53.339193
0.940625,38,53.442349
0.95625,28,53.519613
