#{"t_start": 1765568640.4314237, "env_id": "None"}
r,l,t
0.0,576,4.193502
1.0,566,8.262577
1.0,324,9.850631
0.0,576,13.966242
1.0,187,16.190995
1.0,226,17.29326
1.0,229,19.711748
1.0,147,20.421215
1.0,152,21.159105
1.0,113,23.012161
1.0,215,24.057492
1.0,97,24.527765
1.0,132,25.173894
1.0,95,26.931393
1.0,49,27.168831
1.0,183,28.062077
1.0,71,28.404912
1.0,115,28.969136
1.0,85,30.682295
1.0,84,31.092051
1.0,91,31.532174
1.0,148,32.249609
1.0,76,32.622031
1.0,117,34.487755
1.0,72,34.835486
1.0,72,35.191802
1.0,92,35.637186
1.0,58,35.91929
1.0,103,36.440013
1.0,39,36.636855
1.0,45,38.165145
1.0,44,38.379595
1.0,75,38.742998
1.0,60,39.033678
1.0,34,39.199612
1.0,49,39.443801
1.0,50,39.685961
1.0,83,40.090378
1.0,70,40.430158
1.0,58,42.034373
1.0,53,42.298329
1.0,52,42.551249
1.0,34,42.716427
1.0,45,42.934869
1.0,66,43.264463
1.0,46,43.489675
1.0,35,43.659195
1.0,53,43.91592
1.0,39,44.106079
1.0,77,45.771386
1.0,52,46.034392
1.0,50,46.280101
1.0,84,46.689722
1.0,49,46.928069
1.0,30,47.075635
1.0,57,47.356544
1.0,37,47.537215
1.0,37,47.717956
1.0,51,47.966942
1.0,90,49.703194
1.0,49,49.942109
1.0,99,50.425875
1.0,41,50.626164
1.0,50,50.871665
1.0,52,51.130716
1.0,37,51.312267
1.0,60,51.604989
1.0,59,51.894452
1.0,47,53.435252
1.0,29,53.579584
1.0,48,53.814797
1.0,42,54.018878
1.0,72,54.371387
1.0,53,54.629273
1.0,41,54.833692
1.0,37,55.015203
1.0,28,55.151995
1.0,42,55.356956
1.0,81,55.754889
1.0,50,57.292388
1.0,35,57.469636
1.0,41,57.670106
1.0,44,57.88567
1.0,41,58.08598
1.0,28,58.22354
1.0,50,58.468099
1.0,31,58.624464
1.0,32,58.782367
1.0,33,58.94423
1.0,32,59.101485
1.0,31,59.25237
1.0,64,59.566753
1.0,50,61.102502
1.0,40,61.303004
1.0,70,61.646401
1.0,29,61.788539
1.0,33,61.949725
1.0,37,62.130816
1.0,31,62.282109
1.0,33,62.448706
1.0,47,62.678715
1.0,37,62.859905
1.0,27,62.992527
1.0,42,63.198026
1.0,35,63.369951
1.0,37,64.843111
1.0,40,65.044613
1.0,31,65.197297
1.0,37,65.378857
1.0,31,65.53094
1.0,44,65.746147
1.0,25,65.868935
1.0,24,65.987414
1.0,32,66.144743
1.0,45,66.368968
1.0,32,66.526046
1.0,46,66.751439
1.0,36,66.927949
1.0,38,67.115128
1.0,34,68.573753
1.0,35,68.746062
1.0,35,68.923723
1.0,31,69.074904
1.0,26,69.202355
1.0,32,69.359712
1.0,32,69.516624
1.0,24,69.634028
1.0,33,69.794691
1.0,31,69.947078
1.0,42,70.158478
1.0,34,70.324468
1.0,25,70.446686
1.0,24,70.564802
1.0,43,70.776757
1.0,52,71.030174
1.0,34,72.490023
1.0,38,72.679954
1.0,30,72.838337
1.0,35,73.021462
1.0,34,73.191334
1.0,33,73.358983
1.0,30,73.510025
1.0,40,73.705364
1.0,28,73.842746
1.0,35,74.014344
1.0,36,74.190242
1.0,27,74.32212
1.0,55,74.591794
1.0,42,74.802941
1.0,25,74.926038
1.0,36,76.414074
1.0,31,76.566883
1.0,46,76.792634
1.0,49,77.03387
1.0,57,77.318818
1.0,48,77.554674
1.0,51,77.803111
1.0,37,77.984308
1.0,29,78.127059
1.0,32,78.284596
1.0,24,78.40184
1.0,25,78.530324
1.0,31,78.681749
1.0,32,80.140314
1.0,31,80.291965
1.0,27,80.424709
1.0,27,80.557696
1.0,26,80.686312
1.0,26,80.813542
1.0,23,80.925714
1.0,27,81.062762
1.0,34,81.230743
1.0,29,81.373138
1.0,39,81.563663
1.0,24,81.682401
1.0,30,81.828623
1.0,46,82.054075
1.0,25,82.177922
1.0,43,82.394131
1.0,28,82.531491
1.0,25,83.954248
1.0,32,84.110746
1.0,28,84.248462
1.0,44,84.464729
1.0,39,84.656894
1.0,35,84.829539
1.0,39,85.025852
1.0,33,85.188192
1.0,28,85.32541
1.0,30,85.473255
1.0,26,85.602079
1.0,31,85.754549
1.0,32,85.911827
1.0,29,86.054507
1.0,32,86.218277
1.0,41,86.420833
1.0,45,87.940193
1.0,30,88.087452
1.0,36,88.264055
1.0,34,88.430619
1.0,27,88.56324
1.0,27,88.698735
1.0,37,88.891243
1.0,29,89.033584
1.0,51,89.283556
1.0,36,89.460493
1.0,42,89.665859
1.0,31,89.817901
1.0,36,89.995243
1.0,29,90.144246
1.0,39,91.634901
1.0,32,91.792217
1.0,31,91.944663
1.0,33,92.107249
1.0,36,92.28333
1.0,28,92.419806
1.0,25,92.542454
1.0,33,92.709092
1.0,41,92.909946
1.0,29,93.05218
1.0,28,93.190182
1.0,68,93.522949
1.0,39,93.71444
1.0,33,93.8846
1.0,26,94.013094
