#{"t_start": 1765568640.4316022, "env_id": "None"}
r,l,t
0.0,576,4.19441
1.0,546,8.164898
0.0,576,12.287641
1.0,382,15.462933
1.0,380,17.318117
1.0,287,20.015861
1.0,277,21.358721
1.0,106,23.177238
1.0,298,24.625414
1.0,151,25.364283
1.0,72,27.008832
1.0,95,27.477497
1.0,98,27.951518
1.0,79,28.33304
1.0,129,28.96414
1.0,95,30.726825
1.0,98,31.203465
1.0,119,31.779366
1.0,87,32.200419
1.0,83,32.607098
1.0,88,34.332748
1.0,110,34.865755
1.0,60,35.163083
1.0,106,35.677611
1.0,40,35.871333
1.0,90,36.321217
1.0,42,36.537539
1.0,69,38.185771
1.0,79,38.568822
1.0,53,38.826503
1.0,76,39.194615
1.0,45,39.416263
1.0,52,39.671471
1.0,43,39.880536
1.0,72,40.23138
1.0,56,40.50265
1.0,62,42.134166
1.0,56,42.405654
1.0,52,42.658246
1.0,58,42.940452
1.0,56,43.21208
1.0,32,43.377599
1.0,50,43.619771
1.0,55,43.887182
1.0,57,44.165027
1.0,89,45.899569
1.0,41,46.09931
1.0,43,46.309909
1.0,51,46.55808
1.0,43,46.767767
1.0,39,46.958242
1.0,92,47.410434
1.0,81,47.806131
1.0,37,47.986915
1.0,83,49.687991
1.0,50,49.932343
1.0,36,50.109447
1.0,50,50.353157
1.0,40,50.54911
1.0,42,50.754572
1.0,67,51.087175
1.0,35,51.258615
1.0,38,51.443786
1.0,49,51.683451
1.0,40,51.87925
1.0,75,53.559576
1.0,50,53.804966
1.0,46,54.029861
1.0,58,54.312048
1.0,37,54.494105
1.0,63,54.804347
1.0,48,55.041034
1.0,70,55.38313
1.0,25,55.505146
1.0,70,57.140168
1.0,62,57.450317
1.0,35,57.62105
1.0,53,57.880674
1.0,43,58.091641
1.0,30,58.239256
1.0,40,58.433813
1.0,47,58.669771
1.0,56,58.945074
1.0,82,59.346823
1.0,49,59.587501
1.0,34,61.044927
1.0,38,61.234504
1.0,34,61.401405
1.0,31,61.552807
1.0,44,61.767654
1.0,46,61.994871
1.0,47,62.224571
1.0,46,62.454448
1.0,49,62.693853
1.0,56,62.967523
1.0,38,63.153805
1.0,41,63.35535
1.0,33,64.808947
1.0,35,64.981452
1.0,27,65.118574
1.0,27,65.252106
1.0,46,65.476967
1.0,48,65.712515
1.0,43,65.924461
1.0,28,66.062466
1.0,40,66.258693
1.0,37,66.443793
1.0,44,66.659283
1.0,28,66.796478
1.0,28,66.934197
1.0,31,67.085626
1.0,28,67.222476
1.0,28,68.653012
1.0,32,68.81073
1.0,37,68.997199
1.0,43,69.207992
1.0,40,69.403697
1.0,29,69.546113
1.0,31,69.698104
1.0,32,69.853454
1.0,36,70.030627
1.0,29,70.178463
1.0,32,70.334851
1.0,41,70.535908
1.0,27,70.668788
1.0,25,70.791948
1.0,29,70.932961
1.0,29,71.075285
1.0,43,72.579568
1.0,26,72.713302
1.0,33,72.886258
1.0,38,73.082783
1.0,31,73.23634
1.0,31,73.398243
1.0,33,73.560101
1.0,35,73.730618
1.0,26,73.858395
1.0,40,74.053976
1.0,62,74.357552
1.0,31,74.508472
1.0,26,74.638965
1.0,35,74.813369
1.0,30,76.271504
1.0,27,76.404369
1.0,27,76.537656
1.0,39,76.729902
1.0,30,76.876741
1.0,45,77.097751
1.0,50,77.348878
1.0,29,77.490515
1.0,33,77.65255
1.0,43,77.862939
1.0,32,78.019194
1.0,26,78.147928
1.0,29,78.290223
1.0,25,78.41221
1.0,30,78.565268
1.0,33,78.726926
1.0,30,80.176213
1.0,35,80.346475
1.0,32,80.504315
1.0,36,80.681227
1.0,33,80.843242
1.0,39,81.038624
1.0,34,81.205468
1.0,31,81.35819
1.0,52,81.613152
1.0,47,81.84436
1.0,26,81.971563
1.0,30,82.118297
1.0,25,82.241381
1.0,35,82.418807
1.0,52,83.974285
1.0,33,84.135469
1.0,58,84.420256
1.0,36,84.598086
1.0,32,84.755716
1.0,43,84.972322
1.0,31,85.125128
1.0,50,85.370486
1.0,45,85.592292
1.0,24,85.710377
1.0,40,85.906746
1.0,32,86.064942
1.0,30,86.219116
1.0,26,86.345464
1.0,30,87.794504
1.0,46,88.019052
1.0,35,88.190469
1.0,53,88.45111
1.0,37,88.631762
1.0,38,88.832394
1.0,42,89.039259
1.0,30,89.185537
1.0,27,89.318394
1.0,32,89.476284
1.0,66,89.79841
1.0,27,89.930538
1.0,35,90.109063
1.0,34,91.575477
1.0,39,91.767562
1.0,27,91.900744
1.0,31,92.052885
1.0,35,92.223989
1.0,40,92.420653
1.0,45,92.64574
1.0,31,92.798058
1.0,27,92.929924
1.0,27,93.063273
1.0,34,93.229991
1.0,46,93.455549
1.0,40,93.651427
1.0,39,93.843194
