#{"t_start": 1765568640.4322858, "env_id": "None"}
r,l,t
0.0,576,4.19797
0.0,576,8.31556
0.0,576,12.436726
1.0,462,16.003413
1.0,494,19.713962
1.0,208,20.716422
1.0,309,23.526517
1.0,126,24.136438
1.0,214,25.18087
1.0,116,27.039856
1.0,132,27.686699
1.0,104,28.189368
1.0,123,28.791063
1.0,127,30.708439
1.0,48,30.938883
1.0,89,31.374312
1.0,91,31.814758
1.0,48,32.047691
1.0,86,32.468862
1.0,72,32.816915
1.0,103,34.615168
1.0,62,34.92115
1.0,97,35.391988
1.0,51,35.639419
1.0,63,35.946018
1.0,77,36.333303
1.0,53,36.603853
1.0,69,38.250801
1.0,39,38.4395
1.0,43,38.648394
1.0,34,38.812875
1.0,56,39.084434
1.0,47,39.312727
1.0,50,39.561185
1.0,33,39.722036
1.0,61,40.01907
1.0,48,40.252731
1.0,61,40.548229
1.0,50,42.12009
1.0,42,42.324671
1.0,40,42.518593
1.0,42,42.72333
1.0,36,42.897974
1.0,29,43.039929
1.0,47,43.276881
1.0,45,43.49654
1.0,47,43.723888
1.0,55,43.992078
1.0,51,44.240384
1.0,69,45.876448
1.0,69,46.212533
1.0,35,46.384176
1.0,42,46.588341
1.0,54,46.851521
1.0,56,47.129354
1.0,51,47.377708
1.0,46,47.602269
1.0,69,47.938895
1.0,89,49.669097
1.0,62,49.973533
1.0,60,50.266955
1.0,39,50.457889
1.0,42,50.662328
1.0,34,50.829069
1.0,74,51.19602
1.0,57,51.475054
1.0,32,51.631571
1.0,36,51.806934
1.0,40,52.004104
1.0,83,53.722963
1.0,32,53.879537
1.0,65,54.196725
1.0,35,54.367765
1.0,68,54.700145
1.0,33,54.866182
1.0,35,55.037061
1.0,40,55.233464
1.0,39,55.424304
1.0,35,55.594854
1.0,27,55.726458
1.0,47,57.250037
1.0,31,57.406974
1.0,44,57.622885
1.0,43,57.833422
1.0,40,58.029125
1.0,42,58.235286
1.0,41,58.435658
1.0,84,58.852656
1.0,26,58.98085
1.0,47,59.210367
1.0,40,59.407028
1.0,49,59.647616
1.0,34,61.104705
1.0,55,61.377726
1.0,41,61.578517
1.0,41,61.779128
1.0,38,61.966741
1.0,41,62.167087
1.0,24,62.284308
1.0,69,62.626837
1.0,37,62.808478
1.0,35,62.978869
1.0,37,63.160393
1.0,39,63.351355
1.0,28,64.779938
1.0,35,64.952013
1.0,28,65.09544
1.0,31,65.248135
1.0,35,65.419543
1.0,27,65.552912
1.0,45,65.77313
1.0,28,65.910913
1.0,27,66.043985
1.0,31,66.196089
1.0,36,66.376427
1.0,31,66.52825
1.0,37,66.70958
1.0,46,66.936074
1.0,47,67.165266
1.0,29,68.600656
1.0,40,68.797226
1.0,24,68.920099
1.0,42,69.12623
1.0,36,69.301465
1.0,36,69.47851
1.0,40,69.674354
1.0,43,69.88496
1.0,32,70.042029
1.0,50,70.291679
1.0,48,70.527212
1.0,36,70.70399
1.0,31,70.85603
1.0,33,71.01711
1.0,31,72.4626
1.0,29,72.605225
1.0,36,72.792398
1.0,40,73.002362
1.0,35,73.178155
1.0,23,73.295972
1.0,39,73.492142
1.0,66,73.8147
1.0,25,73.937088
1.0,38,74.122624
1.0,39,74.313807
1.0,81,74.715883
1.0,34,74.883226
1.0,22,76.303071
1.0,37,76.485661
1.0,29,76.627924
1.0,48,76.863229
1.0,31,77.014944
1.0,30,77.162631
1.0,28,77.304732
1.0,30,77.452753
1.0,32,77.609591
1.0,60,77.903629
1.0,29,78.045516
1.0,59,78.335409
1.0,26,78.466156
1.0,25,78.590936
1.0,30,78.73858
1.0,33,80.201784
1.0,29,80.342538
1.0,32,80.499868
1.0,32,80.657932
1.0,28,80.795146
1.0,45,81.019027
1.0,34,81.187222
1.0,25,81.310917
1.0,25,81.433817
1.0,31,81.58485
1.0,41,81.785715
1.0,39,81.978289
1.0,33,82.139844
1.0,35,82.317499
1.0,46,82.543324
1.0,33,84.005383
1.0,31,84.157507
1.0,37,84.338368
1.0,33,84.501498
1.0,29,84.64358
1.0,36,84.821088
1.0,40,85.022125
1.0,38,85.210027
1.0,30,85.356982
1.0,35,85.529267
1.0,45,85.750925
1.0,36,85.928375
1.0,28,86.066823
1.0,29,86.21463
1.0,27,86.347333
1.0,27,87.781022
1.0,33,87.94242
1.0,46,88.166875
1.0,37,88.348888
1.0,49,88.589321
1.0,33,88.755469
1.0,30,88.913182
1.0,53,89.172031
1.0,31,89.325055
1.0,25,89.447027
1.0,52,89.701615
1.0,31,89.854026
1.0,54,90.126367
1.0,32,91.582158
1.0,31,91.734332
1.0,30,91.881944
1.0,43,92.09335
1.0,27,92.225859
1.0,38,92.411382
1.0,29,92.554262
1.0,39,92.749886
1.0,29,92.892028
1.0,33,93.05443
1.0,33,93.216168
1.0,27,93.349085
1.0,43,93.559035
1.0,26,93.686846
1.0,26,93.81517
1.0,33,93.985424
