#{"t_start": 1765565412.615913, "env_id": "None"}
r,l,t
0.0,576,4.283522
0.0,576,8.517819
0.0,576,12.619622
0.0,576,16.707375
0.0,576,20.791169
0.0,576,24.870147
0.496875,322,27.732564
0.0,576,31.895807
0.0,576,36.167736
0.0,576,40.326035
0.0,576,44.543103
0.0,576,49.935961
0.445312,355,51.657109
0.5875,264,54.22907
0.325,432,57.607537
0.69375,196,58.556454
0.715625,182,59.439903
0.651563,223,61.817539
0.751562,159,62.58376
0.832812,107,63.103696
0.796875,130,65.02489
0.834375,106,65.544133
0.885938,73,65.906419
0.810937,121,66.500003
0.885938,73,66.855772
0.921875,50,67.094982
0.596875,258,69.712606
0.790625,134,70.357416
0.914062,55,70.619418
0.892188,69,70.951375
0.809375,122,72.877253
0.901563,63,73.179655
0.8625,88,73.599863
0.914062,55,73.868159
0.88125,76,74.234006
0.928125,46,74.456109
0.864062,87,74.873368
0.920312,51,75.124883
0.9,64,76.7359
0.903125,62,77.033628
0.889062,71,77.373693
0.898438,65,77.690811
0.9125,56,77.961774
0.9,64,78.268591
0.94375,36,78.440201
0.910937,57,78.713559
0.892188,69,80.359522
0.942187,37,80.537868
0.85625,92,80.980539
0.94375,36,81.154643
0.942187,37,81.333428
0.9125,56,81.609993
0.923438,49,81.846656
0.940625,38,82.029056
0.946875,34,82.194138
0.873437,81,82.584282
0.9375,40,84.075231
0.928125,46,84.303953
0.94375,36,84.47742
0.948438,33,84.636187
0.942187,37,84.814791
0.9125,56,85.084371
0.953125,30,85.229449
0.940625,38,85.419092
0.942187,37,85.598438
0.932813,43,85.805912
0.942187,37,85.984854
0.945312,35,86.154101
0.948438,33,86.312186
0.934375,42,87.815253
0.953125,30,87.965804
0.915625,54,88.226166
0.948438,33,88.386857
0.909375,58,88.667247
0.954688,29,88.807455
0.951562,31,88.957394
0.871875,82,89.358835
0.920312,51,89.605622
0.95625,28,89.740921
0.945312,35,89.910189
0.945312,35,90.079557
0.939063,39,90.268504
0.942187,37,91.744943
0.957812,27,91.881831
0.95625,28,92.017438
0.95,32,92.172459
0.934375,42,92.375501
0.929688,45,92.593923
0.948438,33,92.753483
0.951562,31,92.903239
0.957812,27,93.034673
0.934375,42,93.243899
0.953125,30,93.389777
0.951562,31,93.539606
0.954688,29,93.680373
0.957812,27,93.8116
0.942187,37,93.990812
