#{"t_start": 1765568640.4319618, "env_id": "None"}
r,l,t
0.0,576,4.196195
0.0,576,8.313821
1.0,442,11.778751
1.0,439,13.923021
1.0,257,16.48884
1.0,458,20.021879
1.0,199,20.986237
1.0,223,23.372775
1.0,215,24.416924
1.0,105,24.931619
1.0,102,26.722846
1.0,197,27.685501
1.0,99,28.164398
1.0,166,28.975382
1.0,71,30.619269
1.0,96,31.087633
1.0,94,31.543181
1.0,86,31.959104
1.0,102,32.45791
1.0,93,32.907747
1.0,69,34.541794
1.0,52,34.793011
1.0,69,35.134018
1.0,106,35.648799
1.0,81,36.042058
1.0,105,36.577771
1.0,74,38.249599
1.0,66,38.569986
1.0,68,38.899447
1.0,41,39.099097
1.0,46,39.322034
1.0,88,39.755053
1.0,48,39.987353
1.0,45,40.207754
1.0,55,40.474213
1.0,48,42.030012
1.0,54,42.29981
1.0,41,42.498572
1.0,62,42.800125
1.0,34,42.965384
1.0,42,43.169576
1.0,40,43.372914
1.0,55,43.640132
1.0,63,43.946216
1.0,60,44.239167
1.0,40,45.723495
1.0,168,46.553422
1.0,39,46.743887
1.0,39,46.934322
1.0,35,47.10861
1.0,31,47.260009
1.0,37,47.440975
1.0,107,47.962591
1.0,29,48.105178
1.0,37,49.576786
1.0,36,49.758142
1.0,46,49.983985
1.0,99,50.467257
1.0,33,50.627676
1.0,45,50.848137
1.0,35,51.024349
1.0,67,51.352239
1.0,48,51.58541
1.0,34,51.752379
1.0,35,51.924366
1.0,33,53.396152
1.0,34,53.565559
1.0,93,54.02039
1.0,38,54.206045
1.0,38,54.391996
1.0,52,54.645119
1.0,35,54.819717
1.0,32,54.976487
1.0,46,55.202358
1.0,40,55.398636
1.0,47,55.628653
1.0,64,57.233869
1.0,38,57.426523
1.0,44,57.641736
1.0,37,57.822613
1.0,49,58.062357
1.0,48,58.2984
1.0,53,58.558046
1.0,29,58.70443
1.0,83,59.112692
1.0,46,59.336844
1.0,34,59.503252
1.0,50,61.040214
1.0,36,61.219702
1.0,47,61.451274
1.0,31,61.602685
1.0,68,61.935435
1.0,38,62.121175
1.0,45,62.341796
1.0,43,62.55757
1.0,32,62.7147
1.0,36,62.890187
1.0,36,63.066452
1.0,46,63.292382
1.0,33,63.45382
1.0,46,64.970915
1.0,37,65.158522
1.0,28,65.296299
1.0,50,65.542114
1.0,44,65.757631
1.0,28,65.894802
1.0,27,66.028311
1.0,48,66.26546
1.0,33,66.429595
1.0,41,66.630187
1.0,32,66.787036
1.0,43,66.998396
1.0,58,68.575326
1.0,35,68.747559
1.0,35,68.925224
1.0,31,69.076401
1.0,40,69.271017
1.0,37,69.452917
1.0,36,69.629212
1.0,28,69.76614
1.0,34,69.93321
1.0,28,70.071233
1.0,61,70.374288
1.0,25,70.49686
1.0,26,70.625372
1.0,26,70.753271
1.0,40,70.94896
1.0,26,71.07645
1.0,33,72.530934
1.0,39,72.729771
1.0,26,72.864973
1.0,34,73.042921
1.0,27,73.176942
1.0,31,73.334385
1.0,40,73.535794
1.0,33,73.69629
1.0,28,73.833613
1.0,28,73.970125
1.0,40,74.166276
1.0,32,74.323592
1.0,32,74.479919
1.0,52,74.739433
1.0,26,74.867767
1.0,25,76.301851
1.0,26,76.430439
1.0,44,76.64739
1.0,27,76.778815
1.0,32,76.936316
1.0,32,77.093106
1.0,44,77.31455
1.0,37,77.496438
1.0,35,77.668586
1.0,32,77.824255
1.0,43,78.034747
1.0,22,78.142933
1.0,27,78.275488
1.0,39,78.471596
1.0,49,78.712601
1.0,32,80.171581
1.0,26,80.298258
1.0,27,80.430997
1.0,30,80.578364
1.0,36,80.754966
1.0,34,80.921391
1.0,31,81.078695
1.0,28,81.216273
1.0,42,81.422956
1.0,40,81.619144
1.0,49,81.860032
1.0,44,82.075081
1.0,23,82.188962
1.0,25,82.316291
1.0,36,82.493325
1.0,48,84.029174
1.0,31,84.181296
1.0,37,84.362747
1.0,25,84.48533
1.0,43,84.697355
1.0,38,84.889354
1.0,46,85.115541
1.0,35,85.287153
1.0,39,85.479575
1.0,38,85.666109
1.0,27,85.800277
1.0,30,85.947879
1.0,37,86.134072
1.0,44,86.352481
1.0,44,87.867976
1.0,36,88.044211
1.0,44,88.259721
1.0,26,88.387909
1.0,53,88.647758
1.0,45,88.882189
1.0,38,89.069751
1.0,32,89.225936
1.0,25,89.348805
1.0,25,89.471612
1.0,38,89.656732
1.0,33,89.819383
1.0,32,89.976211
1.0,29,90.125135
1.0,33,91.586749
1.0,33,91.748593
1.0,71,92.098055
1.0,44,92.313848
1.0,35,92.485162
1.0,36,92.66609
1.0,37,92.847618
1.0,29,92.989601
1.0,30,93.136569
1.0,31,93.289969
1.0,32,93.446051
1.0,24,93.56415
1.0,40,93.76069
1.0,30,93.915782
1.0,33,94.078492
