#{"t_start": 1765565412.6161401, "env_id": "None"}
r,l,t
0.0,576,4.284362
0.0,576,8.518668
0.0,576,12.62046
0.0,576,16.708222
0.0,576,20.792016
0.0,576,24.871
0.0,576,28.975306
0.0,576,33.135403
0.0,576,38.760548
0.0,576,42.976772
0.0,576,47.087473
0.489062,327,49.961558
0.689063,199,50.925194
0.853125,94,51.383172
0.578125,270,53.984849
0.101562,575,58.057197
0.201562,511,61.827875
0.746875,162,62.608393
0.0,576,66.715607
0.857812,91,67.153185
0.8375,104,69.032863
0.81875,116,69.587916
0.821875,114,70.13783
0.810937,121,70.71512
0.8375,104,71.215204
0.884375,74,72.912153
0.901563,63,73.21411
0.835938,105,73.715183
0.8625,88,74.142401
0.825,112,74.682899
0.9375,40,74.874167
0.895312,67,76.505521
0.923438,49,76.741431
0.90625,60,77.028574
0.78125,140,77.706101
0.940625,38,77.889411
0.879687,77,78.25891
0.928125,46,78.480378
0.939063,39,78.665889
0.88125,76,80.345057
0.939063,39,80.532373
0.8875,72,80.87929
0.940625,38,81.06391
0.932813,43,81.271376
0.951562,31,81.420902
0.945312,35,81.595036
0.945312,35,81.764576
0.95,32,81.918267
0.9375,40,82.112018
0.907813,59,82.396178
0.953125,30,82.541734
0.923438,49,84.076045
0.932813,43,84.289684
0.920312,51,84.535458
0.923438,49,84.771732
0.914062,55,85.036328
0.928125,46,85.259129
0.939063,39,85.454547
0.93125,44,85.666089
0.915625,54,85.927443
0.945312,35,86.095672
0.928125,46,86.317688
0.917188,53,87.873371
0.93125,44,88.091898
0.932813,43,88.299374
0.948438,33,88.459463
0.9375,40,88.652474
0.948438,33,88.81295
0.945312,35,88.981852
0.954688,29,89.122181
0.9375,40,89.320136
0.95,32,89.475467
0.942187,37,89.654779
0.929688,45,89.871633
0.921875,50,90.114014
0.946875,34,90.279001
0.948438,33,91.735263
0.948438,33,91.902172
0.959375,26,92.027747
0.954688,29,92.167568
0.957812,27,92.299061
0.959375,26,92.425015
0.960938,25,92.545865
0.915625,54,92.807315
0.95,32,92.962732
0.934375,42,93.171452
0.957812,27,93.303072
0.945312,35,93.472301
0.94375,36,93.646591
0.948438,33,93.806134
0.959375,26,93.932834
0.954688,29,94.074823
