#{"t_start": 1765941717.3593721, "env_id": "None"}
r,l,t
0.0,1936,57.586179
0.0,1936,97.340421
0.0,1936,137.296447
0.0,1936,192.873325
0.0,1936,249.444962
0.0,1936,302.886326
0.0,1936,359.65603
0.0,1936,416.539193
0.0,1936,472.402534
1.0,1565,518.035187
1.0,482,532.153799
1.0,1710,582.324326
1.0,160,587.126811
1.0,205,593.195536
1.0,107,596.496314
1.0,83,599.130009
1.0,92,601.906988
1.0,76,604.22256
1.0,792,624.130681
1.0,68,626.046249
1.0,57,627.827812
1.0,64,629.737812
1.0,48,631.100022
1.0,148,635.416467
1.0,40,636.695552
1.0,45,637.965431
1.0,41,639.169118
1.0,48,640.65444
1.0,44,641.940154
1.0,39,643.061939
1.0,39,644.369756
1.0,40,645.407852
1.0,39,646.485708
1.0,39,647.72422
1.0,39,648.865503
1.0,39,650.005813
1.0,39,651.056753
1.0,39,652.323895
1.0,39,653.473653
1.0,39,654.64125
1.0,39,655.785156
1.0,39,656.844884
1.0,39,658.110637
1.0,39,659.135941
1.0,39,660.42766
1.0,39,661.462143
1.0,39,662.735663
1.0,39,663.75201
1.0,39,664.774631
1.0,39,666.05444
1.0,39,667.057622
1.0,39,668.325091
1.0,39,669.369719
1.0,39,670.636322
1.0,39,671.606307
1.0,39,672.923881
1.0,39,673.906117
1.0,39,675.083815
1.0,39,676.268533
1.0,39,677.402428
1.0,39,678.59238
1.0,39,679.695368
1.0,39,680.871606
1.0,39,682.00915
1.0,39,682.96909
1.0,39,684.287673
1.0,39,685.283833
1.0,39,686.582185
1.0,39,687.580822
1.0,39,688.893224
1.0,39,689.97469
1.0,39,691.249968
1.0,39,692.298774
1.0,39,693.424178
1.0,39,694.716446
1.0,39,695.770653
1.0,39,697.06328
1.0,39,698.146116
1.0,39,699.421736
1.0,39,700.570614
1.0,39,701.6289
1.0,39,702.896429
1.0,39,703.949039
1.0,39,705.249734
1.0,39,706.277495
1.0,39,707.578228
1.0,39,708.727323
1.0,39,709.983319
1.0,39,711.125658
1.0,39,712.155927
1.0,39,713.470241
1.0,39,714.591126
1.0,39,715.877303
1.0,39,716.977873
1.0,39,718.24032
1.0,40,719.326582
1.0,39,720.618376
1.0,39,721.649804
1.0,39,722.805403
1.0,39,724.071779
1.0,39,725.186649
1.0,39,726.409817
1.0,39,727.495496
1.0,39,728.670659
1.0,39,729.774898
1.0,39,730.751118
1.0,39,731.996617
1.0,39,733.035425
1.0,39,734.352526
1.0,39,735.389657
1.0,44,736.794428
1.0,162,741.59797
1.0,677,760.663427
1.0,82,762.746622
1.0,39,763.711715
1.0,45,765.124574
1.0,41,766.147797
1.0,40,767.471663
1.0,41,768.510703
1.0,41,769.870657
1.0,39,770.890189
1.0,39,772.194503
1.0,40,773.353065
1.0,40,774.643286
1.0,39,775.764205
1.0,39,777.045509
1.0,39,778.093986
1.0,39,779.389847
1.0,39,780.405937
1.0,39,781.457202
1.0,39,782.698256
1.0,50,784.172678
1.0,91,786.920381
1.0,39,787.921364
1.0,39,789.248513
1.0,39,790.246353
1.0,39,791.389322
1.0,39,792.549996
1.0,39,793.687891
1.0,39,794.966429
1.0,39,796.069222
1.0,39,797.27036
1.0,39,798.380022
1.0,49,799.731434
1.0,43,801.068569
1.0,44,802.515063
1.0,41,803.598011
1.0,39,804.879368
1.0,39,805.934245
1.0,39,807.081225
1.0,39,808.205173
1.0,39,809.379788
1.0,39,810.553217
1.0,39,811.667819
1.0,39,812.735101
1.0,42,813.830405
1.0,39,815.095637
1.0,39,816.056488
1.0,40,817.344635
1.0,39,818.370927
1.0,57,820.143056
1.0,39,821.150542
1.0,39,822.466983
1.0,39,823.425248
1.0,39,824.368808
1.0,39,825.420945
1.0,39,826.459927
1.0,39,827.699991
1.0,39,828.750958
1.0,39,830.026913
1.0,39,831.075216
1.0,39,832.186408
1.0,39,833.381408
1.0,39,834.498659
1.0,39,835.804229
1.0,39,836.840421
1.0,39,838.139252
1.0,39,839.141961
1.0,39,840.440328
1.0,39,841.499733
1.0,39,842.630135
1.0,39,843.822518
1.0,39,844.94807
1.0,39,846.150399
1.0,39,847.261266
1.0,39,848.494944
1.0,39,849.595058
1.0,39,850.583664
1.0,39,851.915193
1.0,39,852.900092
1.0,39,854.175971
1.0,39,855.20238
1.0,39,856.401766
1.0,39,857.49471
1.0,39,858.681985
1.0,39,859.796199
1.0,39,860.866468
1.0,39,862.135747
1.0,39,863.132523
1.0,39,864.444576
1.0,39,865.455579
1.0,39,866.772451
1.0,39,867.720548
1.0,39,868.880341
1.0,39,870.026435
1.0,39,871.056327
1.0,39,872.318099
1.0,39,873.392949
1.0,39,874.599027
1.0,39,875.677342
1.0,39,876.933297
1.0,39,877.98911
1.0,39,879.115312
1.0,39,880.419879
1.0,39,881.475957
1.0,39,882.807003
